# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSS_IN_SOURCE	IPA	TOKENS	SOURCE	COGID	TBL_ID	NOTE
165	Kulung	to buy	buy (vt-5 [1: khet- 2: khett- 3: khei- 4: khen- 5: khe:-])	kheima	kʰ e i m a	Tolsma1999	0	1516	Nepali: kinnu. (Tolsma1999)
#
166	Kulung	to chew	chew (vt-4 [1: kham- 2: khamm- 3: kham-])	khamma	kʰ a m m a	Tolsma1999	0	1424	Nepali: capāunu. (Tolsma1999)
#
167	Kulung	to come	come (from whatever direction) (vi-7 [1: tɔi- 2: tɔ- 3: tai- 4: ta-])	tama	t a m a	Tolsma1999	0	1491	Nepali: āunu. (Tolsma1999)
#
168	Kulung	to count	count (vt-1 [1: Nir- ])	Nirma	ŋ i r m a	Tolsma1999	0	1640	Nepali: gannu. (Tolsma1999)
#
169	Kulung	to cry (weep)	count (vt-1 [1: Nir- ])	Nirma	ŋ i r m a	Tolsma1999	0	1485	Nepali: gannu. (Tolsma1999)
#
170	Kulung	to die	die (vi-3 [1: si:- 2: si-])	sima	s i m a	Tolsma1999	0	1651	Nepali: marnu. (Tolsma1999)
#
171	Kulung	to dig	dig (vt-8 [1: dɔi- 2: dɔ- 3: dǝi- 4: dǝ- 5: dui- 6: du- 7: da- 8: dɔk-])	dɔma	d ɔ m a	Tolsma1999	0	1698	Nepali: khannu. (Tolsma1999)
#
172	Kulung	to drink	drink (vt-4 [1: duN- 2: duNN- 3: du:-])	du:ma	d u: m a	Tolsma1999	0	1370	Nepali: piunu. (Tolsma1999)
#
173	Kulung	to eat	eat (vt-7 [1: cɔi- 2: cɔ- 3: cǝi- 4: cǝ- 5: cai- 6: ca-])	cama	ts a m a	Tolsma1999	0	1198	Nepali: khānu. (Tolsma1999)
#
174	Kulung	to fight	quarrel, fight (vi-3 [1: khei- 2: khe-])	khema	kʰ e m a	Tolsma1999	0	1234	Nepali: jhagaḍā garnu. (Tolsma1999)
#
175	Kulung	to flow	flow (of a river) (vi-1 [1: el-])	elma	e l m a	Tolsma1999	0	1502	Nepali: bagnu. (Tolsma1999)
#
176	Kulung	to fly (move through air)	fly (vi-1 [1: per-])	perma	p e r m a	Tolsma1999	0	1318	Nepali: uḍnu. (Tolsma1999)
#
177	Kulung	to forget	forget (vt-5 [1: mat- 2: matt- 3: mai- 4: man- 5: ma:-])	maima	m a i m a	Tolsma1999	0	1704	Nepali: birsanu (Tolsma1999)
#
178	Kulung	to give	give (vt-4 [1: pi:- 2: pi:y- 3: pi-])	pima	p i m a	Tolsma1999	0	1345	Nepali: dinu. (Tolsma1999)
#
179	Kulung	to hear	hear (vt-2 [1: yen- 2: ye:-])	ye:ma	j e: m a	Tolsma1999	0	1682	Nepali: sunnu. (Tolsma1999)
#
180	Kulung	to hide (conceal)	hide, conceal (vt-4 [1: sul- 2: sull- 3: sul-])	sulma	s u l m a	Tolsma1999	0	1169	Nepali: lukāunu. (Tolsma1999)
#
