NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
217	to play	1413	1703	1539	"1) perform; play; 2) ɔ:mɔʔmatche: ca:maʔ exchange glances, look at one another; 3) he:sɔNwa ca:maʔ pant, gasp, be out of breath; 4) pǝkɔ:ndi ca:maʔ cry ""huolululululu"" at a high pitched voice (usu. in groups) on festive occasions, whilst playing piN, or whilst trekking through the mountains; 5) khɔnɔkwa ca:maʔ to snore; 6) khikwa ca:maʔ whistle; 7) sustained activity aspectivizer. (vi.irr.)"
217	to play	1413	1703	2330	sound, strum, strike, play (a musical instrument, bell, drum). (vt.)
#>>>
#<<<
218	to pull	1455	1568	443	drag, draw (vt.)
218	to pull	1455	1568	2278	1) pick, pluck, pull, drag; 2) sɔkma uNmaʔ inhale; 3) the: uNmaʔ produce the: from bamboo (pha) (vt.)
#>>>
219	to push	1452	1689	242	shove, push; give a push with one's hand (vt.)
220	to reside (live)	1099	1452		???
#<<<
221	to run	1519	1544	419	run (vr.)
221	to run	1519	1544	1222	run, sprint, race, jump (vi.)
#>>>
#<<<
222	to scratch	1436	1530	1915	comb (e.g. one's hair); scratch, scrape (vt.)
222	to scratch	1436	1530	2275	scrape, scratch (vt.)
#>>>
#<<<
223	to see	1409	1471	544	see (vt.)
223	to see	1409	1471	887	see (in the expression: sɛpmaN ma:kmaʔ 'to dream'). (vt.)
#>>>
224	to shoot (an arrow)	1172	1611		???
225	to sing	1261	1184		???
#<<<
226	to sleep	1585	1646	1542	1) lie, be lying down, repose, lie down; reside, dwell, stay, inhabit, be situated, stay the night; 2) put, lay something somewhere (1) vi. 2) vt.)
226	to sleep	1585	1646	1791	sleep (vi.)
226	to sleep	1585	1646	2050	sleep (n.)
226	to sleep	1585	1646	2026	sleep, the state of being asleep (n.)
#>>>
#<<<
227	to smell (perceive odor) [transitive]	1586	1707	1508	smell (vi.)
227	to smell (perceive odor) [transitive]	1586	1707	1509	smell (vt.)
227	to smell (perceive odor) [transitive]	1586	1707	1515	stink, smell (vi.)
227	to smell (perceive odor) [transitive]	1586	1707	1810	smell, aroma (n.)
227	to smell (perceive odor) [transitive]	1586	1707	1812	smell, aroma (n.)
#>>>
#<<<
228	to sow (broadcast, scatter seeds)	748	1597	1704	pit, seed, kernel (of husked grain). (n.)
228	to sow (broadcast, scatter seeds)	748	1597	2120	scatter, spill (either intentionally or unintentionally); sow (vt.)
#>>>
229	to spit	1440	1688		???
230	to stand	1442	1784		???
231	to steal	713	1686		???
232	to think (reflect)	1415	1726	2047	think; think of, contemplate, remember (vt.)
233	to throw	1456	1687	477	1) cast, throw, toss (overhand); hit someone or something with a thrown object (vt.)
234	to vomit	1278	1535	1088	vomit (vt.)
#<<<
235	to walk	1443	1815	320	walk, go on foot, stride (vi.)
235	to walk	1443	1815	323	time, go, round (n.)
235	to walk	1443	1815	684	cover on foot, walk, walk down (vt.)
235	to walk	1443	1815	1087	go (vi.irr.)
235	to walk	1443	1815	1231	I) 1) say; 2) look, seem, appear; 3) -sɔkma hik lɔʔmaʔ feel tightness in the chest; have difficulty breathing; 4) ɔkkhum lɔʔmaʔ duck, stoop; 5) swaʔl lɔʔmaʔ keep silent; 6) -na mak lɔʔmaʔ be upset, be grieved, be annoyed; 7) -niN sisi lɔʔmaʔ be listless, not be in the mood to do something, be too disinterested to undertake something 8) pe:ʔe:go: lɔʔmaʔ have ants in one's pants, feel the urge to get up and go 9) -yam se:se: lɔʔmaʔ be invigorated, full of zest, refreshed 10) -yam cɔNdzɔN lɔʔmaʔ feel better, feel recuperated II) in the expression lyɛ:N lɔʔmaʔ, q.v. (I) vi. II) vt.)
235	to walk	1443	1815	2040	wander, loiter, stroll about, (of birds) fly about aimlessly (vi.)
#>>>
236	to wipe	1454	1163		???
237	today	1283	738	463	day, daytime (n.)
238	tomorrow	1329	742	2196	tomorrow (adv.)
239	twenty	1710	816		???
#<<<
240	two	1498	798	70	1) sit on someone or some animal (animate patient); mount; 2) (with nɛʔl [&lt; nɛpmaʔ q.v.]) observe (vt.)
240	two	1498	798	187	1) be spilled, be poured; wɛttɛ It spilled; 2) (unintentionally:) spill, (intentionally:) make wet by pouring, pour over (1) vi. 2) vt.)
240	two	1498	798	1360	1) mould (eg. kha:m-ille with clay, piʔlhi-lle with cow dung, hilo:-lle with mud); 2) (with thɛge:kʔi) ball up one's hair into a bun. (vt.)
240	two	1498	798	1551	two (num.col.)
240	two	1498	798	1558	two (num.)
#>>>
#<<<
