ID	rn	reflex	GLOSS	x	srcabbr	lgid	language	srcid
210	465359	ba-nai-e a-gan-ing-a	exaggerate (vph)		RB-LMMG	1945	Garo (Bangladesh)	7.13-II:idx
211	465360	ban-dang-a	short (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.341-II:idx
212	465361	bang	carrying pole (n)		RB-LMMG	1945	Garo (Bangladesh)	5.835-II:idx
213	465362	bang•-a	many; much (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.342-II:idx
214	465363	bang-bang	clear; empty (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.26-II:idx
215	465364	bang•-e	much; very (adv)		RB-LMMG	1945	Garo (Bangladesh)	3.342-II:idx
216	465365	bang•-e nam-ja	not very good (vph)		RB-LMMG	1945	Garo (Bangladesh)	3.453-II:idx
217	465366	bang-gu-ri-a	earthquake (vi)		RB-LMMG	1945	Garo (Bangladesh)	4.37-II:idx
218	465367	bang-kang-a	deny; obstruct; prevent; prohibit (vt)		RB-LMMG	1945	Garo (Bangladesh)	9.77-II:idx
219	465368	bang•-rik-rik-a	increase; more and more (vi)		RB-LMMG	1945	Garo (Bangladesh)	3.342-II:idx
220	465369	bang-si	flute (n)		RB-LMMG	1945	Garo (Bangladesh)	8.85-II:idx
221	465370	ba-no-ba	anywhere; nowhere; somewhere (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.13-II:idx
222	465371	ba-no-na	where to? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
223	465372	ba-no-ni	where from? (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
224	465373	ba-o	where (qw)		RB-LMMG	1945	Garo (Bangladesh)	1.21-II:idx
225	465374	bap-tis-mon	baptism (n)		RB-LMMG	1945	Garo (Bangladesh)	8.564-II:idx
226	465375	bap-|tis-|mon-ni bi-ming	name, Christian (nph)		RB-LMMG	1945	Garo (Bangladesh)	7.18-II:idx
227	465376	ba•-ra	cloth; clothes (n)		RB-LMMG	1945	Garo (Bangladesh)	6.594-II:idx
228	465377	ba-ra	fare; payment (n)		RB-LMMG	1945	Garo (Bangladesh)	8.442-II:idx
229	465378	ba-ran-da	veranda (n)		RB-LMMG	1945	Garo (Bangladesh)	5.635-II:idx
230	465379	bar-bar	repeatedly (adv)		RB-LMMG	1945	Garo (Bangladesh)	2.71-II:idx
