ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
203	473356	beringwa	food cooked in a wa•sung	n	SVB-GA	1973	Atong	
204	473357	berengwa	food cooked in a wa•sung	n	SVB-GA	1973	Atong	
205	473358	betyri	battery	n	SVB-GA	1973	Atong	
206	473359	bewal	tradition, habit	n	SVB-GA	1973	Atong	
207	473360	-bi	very	evsp	SVB-GA	1973	Atong	
208	473361	bi•chamchym	fragment	n	SVB-GA	1973	Atong	
209	473362	bi•thyn	liver	n	SVB-GA	1973	Atong	
210	473363	bia	wedding	n	SVB-GA	1973	Atong	
211	473364	biambong	biceps	n	SVB-GA	1973	Atong	
212	473365	biawthang	brother-in-law: wife's elder brother	n	SVB-GA	1973	Atong	
213	473366	biba	when?	interr	SVB-GA	1973	Atong	
214	473367	biba	breath, vapour, steam	n	SVB-GA	1973	Atong	
215	473368	bibasa	wherever	adv	SVB-GA	1973	Atong	
216	473369	bibyrokhon	some day	adv	SVB-GA	1973	Atong	
217	473370	bibakoron	some day	adv	SVB-GA	1973	Atong	
218	473371	bichi	where?	interr	SVB-GA	1973	Atong	
219	473372	bichiba	sometimes, somewhere	adv	SVB-GA	1973	Atong	
220	473373	bichiba bichiba	sometimes, seldom	adv	SVB-GA	1973	Atong	
221	473374	bichylap	abdominal membrane	n	SVB-GA	1973	Atong	
222	473375	bie	which?, where?	interr	SVB-GA	1973	Atong	
223	473376	biga(ba)	which?	interr	SVB-GA	1973	Atong	
224	473377	bi◦ji	injection, injection needle	n	SVB-GA	1973	Atong	
225	473378	bijyrang-	hang to dry	v	SVB-GA	1973	Atong	
226	473379	bikha	classifier for surfaces of 80 by 80 pit	clf	SVB-GA	1973	Atong	
227	473380	bil•-	retract the foreskin from the glans penis	v	SVB-GA	1973	Atong	
228	473381	bilding	house built with cement, building	n	SVB-GA	1973	Atong	
229	473382	bimang	body, appearance	n	SVB-GA	1973	Atong	
230	473383	bi◦mung	name	n	SVB-GA	1973	Atong	
231	473384	bi◦myng	name	n	SVB-GA	1973	Atong	
232	473385	bins	type of green bean	n	SVB-GA	1973	Atong	
233	473386	bipha	lad, man, male	n	SVB-GA	1973	Atong	
234	473387	biphagaba	husband	n	SVB-GA	1973	Atong	
235	473388	biri	cigarette	n	SVB-GA	1973	Atong	
236	473389	bisang	to where?, from where?	interr	SVB-GA	1973	Atong	
237	473390	bisangba	somewhere	ilocprof	SVB-GA	1973	Atong	
