# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD
61	all (191)	t͡s a ³⁵ - - -			全部	5	all	Jianchuan		tsa35	all / 都	-	all (2)	t͡sa₃₅		-	1173416					Function word	4	Allen2007, 499	Bai	all (of a number)(1)	all(1)	t͡s a ³⁵	all(84)	13.14
62	all (191)	-			全部	0	all	Jinman		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
63	all (191)	-			全部	0	all	Jinxing		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
64	all (191)	d a ⁵⁵ t͡ɕ ã ∼ ³¹			全部	3	all	Luobenzhuo		da55tɕã31	all / 都	-	all (2)	da₅₅t͡ɕã₃₁		-	1173416					Function word	3	Allen2007, 499	Bai	all (of a number)(1)	all(1)	d a ⁵⁵ t͡ɕ ã ∼ ³¹	all(84)	13.14
65	all (191)	-			全部	0	all	Mazhelong		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
66	all (191)	j i ³⁵ s o ³¹			全部	4	all	Qiliqiao		ji35so31	all / 都	-	all (2)	ji₃₅so₃₁		-	1173416					Function word	8	Allen2007, 499	Bai	all (of a number)(1)	all(1)	j i ³⁵ s o ³¹	all(84)	13.14
67	all (191)	t͡ɕʰ u ɛ ⁵⁵			全部	6	all	Xiangyun		tɕʰuɛ55	all / 都	-	all (2)	t͡ɕʰuɛ₅₅		-	1173416					Function word	9	Allen2007, 499	Bai	all (of a number)(1)	all(1)	t͡ɕʰ u ɛ ⁵⁵	all(84)	13.14
68	all (191)	t͡s a ⁵⁵ t͡ɕʰ i ³¹			全部	5	all	Yunlong		tsa55tɕʰi31	all / 都	-	all (2)	t͡sa₅₅t͡ɕʰi₃₁		-	1173416					Function word	4	Allen2007, 499	Bai	all (of a number)(1)	all(1)	t͡s a ⁵⁵ t͡ɕʰ i ³¹	all(84)	13.14
69	all (191)	-			全部	0	all	Zhoucheng		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bai	all (of a number)(1)	all(1)	-	all(84)	13.14
70	all (191)	-			全部	0	all	Cone_Tibetan		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bodic	all (of a number)(1)	all(1)	-	all(84)	13.14
71	all (191)	-			全部	0	all	Lhasa_Tibetan		-	-	-	all (2)	-		-	1173416					Function word	0	-	Bodic	all (of a number)(1)	all(1)	-	all(84)	13.14
72	all (191)	-			全部	10	all	Old_Tibetan		tʰams.tɕad	all	凡	all (2)	tʰams.tɕad		-	1173416					Function word	0	-	Bodic	all (of a number)(1)	all(1)	tʰ a ms tɕ a d	all(84)	13.14
73	all (191)	-			全部	0	all	Achang_Lianghe		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
74	all (191)	-			全部	0	all	Achang_Longchuan		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
75	all (191)	-			全部	0	all	Achang_Luxi		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
76	all (191)	-			全部	0	all	Atsi		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
77	all (191)	-			全部	0	all	Bola		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
78	all (191)	-			全部	9	all	Burmese		a²lum²	all	凡	all (2)	a²lum²		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	a ² l u m ²	all(84)	13.14
79	all (191)	-			全部	0	all	Hpun		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
80	all (191)	-			全部	0	all	Lashi		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
81	all (191)	-			全部	0	all	Maru		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
82	all (191)	-			全部	0	all	Old_Burmese		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
83	all (191)	-			全部	0	all	Xiandau		-	-	-	all (2)	-		-	1173416					Function word	0	-	Burmish	all (of a number)(1)	all(1)	-	all(84)	13.14
84	all (191)	-			全部	0	all	Dumi		-	-	-	all (2)	-		-	1173416					Function word	0	-	Kiranti	all (of a number)(1)	all(1)	-	all(84)	13.14
85	all (191)	-			全部	12	all	Khaling		kʰøle	all	凡	all (2)	kʰøle		-	1173416					Function word	0	-	Kiranti	all (of a number)(1)	all(1)	kʰ ø l e	all(84)	13.14
86	all (191)	-			全部	11	all	Limbu		kak	all	凡	all (2)	kak		-	1173416					Function word	0	-	Kiranti	all (of a number)(1)	all(1)	k a k	all(84)	13.14
87	all (191)	-			全部	0	all	Wambule		-	-	-	all (2)	-		-	1173416					Function word	0	-	Kiranti	all (of a number)(1)	all(1)	-	all(84)	13.14
88	all (191)	-			全部	0	all	Yakkha		-	-	-	all (2)	-		-	1173416					Function word	0	-	Kiranti	all (of a number)(1)	all(1)	-	all(84)	13.14
89	all (191)	-			全部	0	all	Yamphu		-	-	-	all (2)	-		-	1173416					Function word	0	-	Kiranti	all (of a number)(1)	all(1)	-	all(84)	13.14
