# EDICTOR
@modified: 2015-01-20 10:39
#
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
110	Mazhelong	barley	zo₂₁	z o ₂₁	- - - z o ₂₁	zo21	barley	Wang2006a	411	136	?	CVT	?
111	Jianchuan	barley	me₅₅sou₂₁	m e ₅₅ s ou ₂₁	m e ₅₅ s ou ₂₁	me55sou21	barley	Allen2007	95	136	大麦	CVTCVT	?
112	Eryuan	barley	mi₃₅zɔ₂₁	m i ₃₅ z ɔ ₂₁	m i ₃₅ z ɔ ₂₁	mi35zɔ21	barley	Allen2007	95	136	大麦	CVTCVT	?
113	Heqi	barley	mi₅₅zɔu₃₁	m i ₅₅ z ɔu ₃₁	m i ₅₅ z ɔu ₃₁	mi55zɔu31	barley	Allen2007	95	136	大麦	CVTCVT	?
114	Lanping	barley	me₅₅ʐao₂₁	m e ₅₅ ʐ ao ₂₁	m e ₅₅ ʐ ao ₂₁	me55ʐao21	barley	Allen2007	95	136	大麦	CVTCVT	?
115	Qiliqiao	barley	mi₃₅sɔ₂₁	m i ₃₅ s ɔ ₂₁	m i ₃₅ s ɔ ₂₁	mi35sɔ21	barley	Allen2007	95	136	大麦	CVTCVT	?
116	Yunlong	barley	mi₃₅zɔ₂₁	m i ₃₅ z ɔ ₂₁	m i ₃₅ z ɔ ₂₁	mi35zɔ21	barley	Allen2007	95	136	大麦	CVTCVT	?
117	Xiangyun	barley	mi₃₅zo₂₁	m i ₃₅ z o ₂₁	m i ₃₅ z o ₂₁	mi35zo21	barley	Allen2007	95	136	大麦	CVTCVT	?
118	Luobenzhuo	barley	mɯ̃₅₅ʐao₃₁	m ɯ̃ ₅₅ ʐ ao ₃₁	m ɯ̃ ₅₅ ʐ ao ₃₁	mɯ̃55ʐao31	barley	Allen2007	95	136	大麦	CVTCVT	?
#
119	Tuoluo	bed	dioŋ₃₅	d io ŋ ₃₅	- - - - - - d io ŋ ₃₅ - - -	dioŋ35	bed	Wang2006a	526	171	?	CVcT	?
120	Gongxing	bed	d͡zoŋ₁₂	d͡z o ŋ ₁₂	- - - - - - d͡z o ŋ ₁₂ - - -	dzoŋ12	bed	Wang2006a	526	171	?	CVcT	?
121	Enqi	bed	tio₂₁	t io ₂₁	- - - - - - t io - ₂₁ - - -	tio21	bed	Wang2006a	526	171	?	CVT	?
122	Ega	bed	ŋu₂₂ti₂₂t͡ɕʰu₄₂qʰa₄₄	ŋ u ₂₂ t i ₂₂ t͡ɕʰ u ₄₂ qʰ a ₄₄	ŋ u ₂₂ t i ₂₂ t͡ɕʰ u - ₄₂ qʰ a ₄₄	(ŋu22ti22tɕʰu42qʰa44)	bed	Wang2006a	526	171	?	CVTCVTCVTCVT	?
123	Jinman	bed	ũ₄₂fi₂₂t͡ɕʰu₄₂	ũ ₄₂ f i ₂₂ t͡ɕʰ u ₄₂	- ũ ₄₂ f i ₂₂ t͡ɕʰ u - ₄₂ - - -	(ũ42fi22tɕʰu42)	bed	Wang2006a	526	171	?	VTCVTCVT	?
124	Jinxing	bed	t͡sõ₂₁	t͡s õ ₂₁	- - - - - - t͡s õ - ₂₁ - - -	tsõ21	bed	Wang2006a	526	171	?	CVT	?
125	Dashi	bed	kʰo₃₃	kʰ o ₃₃	- - - - - - kʰ o - ₃₃ - - -	(kʰo33)	bed	Wang2006a	526	171	?	CVT	?
126	Zhoucheng	bed	t͡so₂₁	t͡s o ₂₁	- - - - - - t͡s o - ₂₁ - - -	tso21	bed	Wang2006a	526	171	?	CVT	?
127	Mazhelong	bed	t͡ɕʰyi₂₁	t͡ɕʰ yi ₂₁	- - - - - - t͡ɕʰ yi - ₂₁ - - -	(tɕʰyi21)	bed	Wang2006a	526	171	?	CVT	?
128	Jianchuan	bed	t͡sõũ₂₁	t͡s õũ ₂₁	- - - - - - t͡s õũ - ₂₁ - - -	tsõũ21	bed	Allen2007	226	171	床	CVT	?
129	Eryuan	bed	t͡ʂɔ₃₁	t͡ʂ ɔ ₃₁	- - - - - - t͡ʂ ɔ - ₃₁ - - -	tʂɔ31	bed	Allen2007	226	171	床	CVT	?
130	Heqi	bed	t͡sɔ̃ũ₂₁	t͡s ɔ̃ũ ₂₁	- - - - - - t͡s ɔ̃ũ - ₂₁ - - -	tsɔ̃ũ21	bed	Allen2007	226	171	床	CVT	?
131	Lanping	bed	t͡sɔ₃₃	t͡s ɔ ₃₃	- - - - - - t͡s ɔ - ₃₃ - - -	tsɔ33	bed	Allen2007	226	171	床	CVT	?
