rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
499775	nam◦leʔ◦lum	noon (time when sun is at its peak)	n	RR-Yamphu	1873	Yamphu	558.21
499776	nam◦ma	next year	n	RR-Yamphu	1873	Yamphu	558.22
499777	nam◦ma	mother-in-law	n	RR-Yamphu	1873	Yamphu	558.23
499778	nam◦ma	smell, to stink	v	RR-Yamphu	1873	Yamphu	558.24
499779	nam◦ma	singe, to brand, to cauterize a wound	v	RR-Yamphu	1873	Yamphu	558.25
499780	nam◦mi◦ma	species of bird	n	RR-Yamphu	1873	Yamphu	558.26
499781	nam◦miʔ	daughter-in-law; wife of a younger brother	n	RR-Yamphu	1873	Yamphu	558.27
499782	nam◦ni◦ya◦ma	small species of bee	n	RR-Yamphu	1873	Yamphu	558.29
499783	nam◦se◦læk◦pa	sheet lightning	n	RR-Yamphu	1873	Yamphu	558.3
499784	na◦nam◦ma	wife or husband's elder sister; elder brother's wife's elder sister	n	RR-Yamphu	1873	Yamphu	558.32
499785	naŋ	snow	n	RR-Yamphu	1873	Yamphu	558.33
499786	naŋ-khi	species of edible root (Dioscorea sagittata)	n	RR-Yamphu	1873	Yamphu	558.34
499787	naŋ◦ma	high tide, to have swollen with water	be v.	RR-Yamphu	1873	Yamphu	558.36
499788	nap◦ma	son or daughter's mother-in-law	n	RR-Yamphu	1873	Yamphu	559.03
499789	nap◦pa	son or daughter's father-in-law	n	RR-Yamphu	1873	Yamphu	559.05
499790	nap◦pruŋ◦gi	species of tree	n	RR-Yamphu	1873	Yamphu	559.06
499791	na◦ʔu	nose	n	RR-Yamphu	1873	Yamphu	559.07
499792	na◦ʔum	five	num	RR-Yamphu	1873	Yamphu	559.08
499793	na•◦na	elder sister	n	RR-Yamphu	1873	Yamphu	559.12
499794	na•ʔ◦la	buttocks	n	RR-Yamphu	1873	Yamphu	559.15
499795	na•ʔ◦wa	snot	n	RR-Yamphu	1873	Yamphu	559.16
499796	næ◦ʔæk	ear	n	RR-Yamphu	1873	Yamphu	559.21
499797	net◦ti◦yaŋ◦ba	wife or husband's younger brother	n	RR-Yamphu	1873	Yamphu	559.32
499798	net◦ti◦yaŋ◦ma	wife or husband's younger sister	n	RR-Yamphu	1873	Yamphu	559.33
499799	ne•◦ma	cut down, to chop away	v	RR-Yamphu	1873	Yamphu	560.04
499800	nin◦da◦ŋa	head	n	RR-Yamphu	1873	Yamphu	560.08
499801	niŋ	year (bound morph)	n	RR-Yamphu	1873	Yamphu	560.1
499802	ni◦ŋi	wife of mother's brother	n	RR-Yamphu	1873	Yamphu	560.13
499803	ni◦sa	younger sibling	n	RR-Yamphu	1873	Yamphu	560.14
499804	nit◦ci	two	num	RR-Yamphu	1873	Yamphu	560.15
499805	ni•◦boŋ	twenty	num	RR-Yamphu	1873	Yamphu	560.17
499806	ni•◦ma	shine (said of sun or moon)	v	RR-Yamphu	1873	Yamphu	560.21
499807	nu◦a	breast(s)	n	RR-Yamphu	1873	Yamphu	561.01
499808	nuk◦ci	nine	num	RR-Yamphu	1873	Yamphu	561.02
499809	ŋæ•◦ŋa	species of fish	n	RR-Yamphu	1873	Yamphu	561.11
499810	ok◦ceʔ◦lem◦ba	species of bird	n	RR-Yamphu	1873	Yamphu	561.17
499811	ok◦ce•p◦phu	species of tree	n	RR-Yamphu	1873	Yamphu	561.18
499812	ok◦ci◦ba	owl	n	RR-Yamphu	1873	Yamphu	561.19
499813	ok◦krep◦pa	belch, burp	n	RR-Yamphu	1873	Yamphu	561.2
499814	ok◦naik	navel	n	RR-Yamphu	1873	Yamphu	561.26
499815	ok◦thik	tadpole	n	RR-Yamphu	1873	Yamphu	561.28
499816	om	hail	n	RR-Yamphu	1873	Yamphu	561.29
499817	o◦ŋæk	child	n	RR-Yamphu	1873	Yamphu	561.34
499818	op◦priŋ◦ga	species of insect	n	RR-Yamphu	1873	Yamphu	562.08
499819	o◦sræk◦ma	big, flat rock	n	RR-Yamphu	1873	Yamphu	562.11
499820	oʔ◦ma•◦si	eggplant, aubergine	n	RR-Yamphu	1873	Yamphu	562.13
499821	oʔ◦wa◦ba	species of insect (perhaps a kind of weevil?)	n	RR-Yamphu	1873	Yamphu	562.14
499822	o•◦bræk	big flat rock (on which grain is dried)	n	RR-Yamphu	1873	Yamphu	562.16
499823	pa◦joʔ◦wa	male animal	n	RR-Yamphu	1873	Yamphu	562.25
499824	pak	kind of bamboo	n	RR-Yamphu	1873	Yamphu	562.26
499825	pam◦la	species of tree	n	RR-Yamphu	1873	Yamphu	563.03
499826	paŋ◦gi◦ya	millet	n	RR-Yamphu	1873	Yamphu	563.06
499827	paŋ◦laŋ	species of edible root found in the jungle	n	RR-Yamphu	1873	Yamphu	563.07
499828	pap◦pa	grandfather	n	RR-Yamphu	1873	Yamphu	563.16
499829	pa◦sa	child, offspring	n	RR-Yamphu	1873	Yamphu	563.21
499830	pa◦sa◦yak◦ma◦ra	placenta	n	RR-Yamphu	1873	Yamphu	563.23
499831	pas◦taŋ◦ma	woman who has borne children	n	RR-Yamphu	1873	Yamphu	563.26
499832	pat◦ta◦li◦ya	kind of edible root	n	RR-Yamphu	1873	Yamphu	563.27
499833	pa◦ya•k	toad	n	RR-Yamphu	1873	Yamphu	563.28
499834	pa•◦ba	father	n	RR-Yamphu	1873	Yamphu	563.29
499835	pæ•◦bæʔ◦wa	tiny kind of frog	n	RR-Yamphu	1873	Yamphu	564.16
499836	pæ•k◦pu◦liŋ	species of tree (obsolete name for pæ*ssi)	n	RR-Yamphu	1873	Yamphu	564.18
499837	pæ•s◦si	species of tree (Ficus lacor)	n	RR-Yamphu	1873	Yamphu	564.19
499838	pe◦ro•t◦ti	guava tree (Psidium guajava)	n	RR-Yamphu	1873	Yamphu	564.25
499839	peʔ◦la	neck, throat	n	RR-Yamphu	1873	Yamphu	564.27
499840	peʔ◦la◦jwæ•k◦ma	species of grasshopper	n	RR-Yamphu	1873	Yamphu	564.28
499841	pe•◦ma	fly	v	RR-Yamphu	1873	Yamphu	565.02
499842	pe•◦swa◦ra◦jik◦pa	yellow	adj	RR-Yamphu	1873	Yamphu	565.03
499843	pik	cow	n	RR-Yamphu	1873	Yamphu	565.08
499844	pik◦pa◦sa	calf	n	RR-Yamphu	1873	Yamphu	565.1
499845	pim◦bhi	horsefly	n	RR-Yamphu	1873	Yamphu	565.13
499846	pin◦dum◦si	species of tree, Nepalese hog plum (Spondias axillaris)	n	RR-Yamphu	1873	Yamphu	565.15
499847	pis◦sa	children, youngsters	n	RR-Yamphu	1873	Yamphu	565.18
499848	pit◦toŋ◦lo◦ʔa	species of bird	n	RR-Yamphu	1873	Yamphu	565.2
499849	poik	cucumber	n	RR-Yamphu	1873	Yamphu	565.24
499850	pok◦ma	(of a fire or light) to shine, give light, glisten, twinkle	v	RR-Yamphu	1873	Yamphu	565.25
499851	pu◦baŋ	monkey	n	RR-Yamphu	1873	Yamphu	566.12
499852	pu◦daŋ	plant	n	RR-Yamphu	1873	Yamphu	566.13
499853	pu◦jik	bug, insect, or worm	n	RR-Yamphu	1873	Yamphu	566.14
499854	pu◦sa	child, offspring (bound morph, only used with pronominal prefixes	n	RR-Yamphu	1873	Yamphu	567.01
499855	pu◦sæ•ʔ	snake	n	RR-Yamphu	1873	Yamphu	567.02
499856	pu•k◦sa	species of deer	n	RR-Yamphu	1873	Yamphu	567.04
499857	pha◦na•◦si	jack-fruit	n	RR-Yamphu	1873	Yamphu	567.07
499858	phæk◦kok◦mæŋ◦gok	species of bird	n	RR-Yamphu	1873	Yamphu	567.15
499859	phæk◦saŋ◦ga	species of insect	n	RR-Yamphu	1873	Yamphu	567.17
499860	phæŋ◦loʔ◦wa	species of bird	n	RR-Yamphu	1873	Yamphu	567.23
499861	phæ◦ræŋ	steep place	n	RR-Yamphu	1873	Yamphu	568.03
499862	phæ◦ʔi◦riŋ	small basket for carrying fish	n	RR-Yamphu	1873	Yamphu	568.04
