# Wordlist

# META
@modified:2015-01-20 10:39
@tree:(((Luobenzhuo,(Enqi,(Ega,Jinman))),(Gongxing,Tuoluo)),(Mazhelong,((Xiangyun,((Qiliqiao,(Eryuan,Yunlong)),(Lanping,(Heqi,Jianchuan)))),(Zhoucheng,(Dashi,Jinxing)))));

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES
47	ask	Allen2007	piɛ44	verb	问	Lanping	piɛ₄₄	ask	334	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	10	10.P.C 10.I.V 10.E.V 10.5.T	1.6 3.0 3.0 1.0	0
48	ask	Allen2007	piɛ44	verb	问	Qiliqiao	piɛ₄₄	ask	334	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	13	13.P.C 13.I.V 13.E.V 13.5.T	1.6 3.0 3.0 1.0	0
49	ask	Allen2007	piɛ44	verb	问	Yunlong	piɛ₄₄	ask	334	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	16	16.P.C 16.I.V 16.E.V 16.5.T	1.6 3.0 3.0 1.0	0
50	ask	Allen2007	piɛ44	verb	问	Xiangyun	piɛ₄₄	ask	334	CVT	p i ɛ ₄₄	1 7 7 8	AXYT	PIE5	15	15.P.C 15.I.V 15.E.V 15.5.T	1.6 3.0 3.0 1.0	0
51	ask	Allen2007	ʧua44	verb	问	Luobenzhuo	ʧua₄₄	ask	334	CVT	ʧ u a ₄₄	2 7 7 8	AXYT	CYA5	11	11.C.C 11.Y.V 11.A.V 11.5.T	1.6 3.0 3.0 1.0	1
#
52	bad (things)	Wang2006a	quɛ21	?	?	Tuoluo	quɛ₂₁	bad	1053	CVT	q u ɛ ₂₁	1 7 7 8	AXYT	KYE3	14	14.K.C 14.Y.V 14.E.V 14.3.T	1.6 3.0 3.0 1.0	0
53	bad (things)	Wang2006a	quɛ42	?	?	Gongxing	quɛ₄₂	bad	1053	CVT	q u ɛ ₄₂	1 7 7 8	AXYT	KYE3	5	5.K.C 5.Y.V 5.E.V 5.3.T	1.6 3.0 3.0 1.0	0
54	bad (things)	Wang2006a	quE43	?	?	Enqi	quɛ₄₃	bad	1053	CVT	q u ɛ ₄₃	1 7 7 8	AXYT	KYE3	3	3.K.C 3.Y.V 3.E.V 3.3.T	1.6 3.0 3.0 1.0	0
55	bad (things)	Wang2006a	quɛ42	?	?	Ega	quɛ₄₂	bad	1053	CVT	q u ɛ ₄₂	1 7 7 8	AXYT	KYE3	2	2.K.C 2.Y.V 2.E.V 2.3.T	1.6 3.0 3.0 1.0	0
56	bad (things)	Wang2006a	que42	?	?	Jinman	que₄₂	bad	1053	CVT	q u e ₄₂	1 7 7 8	AXYT	KYE3	8	8.K.C 8.Y.V 8.E.V 8.3.T	1.6 3.0 3.0 1.0	0
57	bad (things)	Wang2006a	kua44	?	?	Jinxing	kua₄₄	bad	1053	CVT	k u a ₄₄	1 7 7 8	AXYT	KYA5	9	9.K.C 9.Y.V 9.A.V 9.5.T	1.6 3.0 3.0 1.0	0
58	bad (things)	Wang2006a	kue42	?	?	Dashi	kue₄₂	bad	1053	CVT	k u e ₄₂	1 7 7 8	AXYT	KYE3	1	1.K.C 1.Y.V 1.E.V 1.3.T	1.6 3.0 3.0 1.0	0
59	bad (things)	Wang2006a	kuɛ44	?	?	Mazhelong	kuɛ₄₄	bad	1053	CVT	k u ɛ ₄₄	1 7 7 8	AXYT	KYE5	12	12.K.C 12.Y.V 12.E.V 12.5.T	1.6 3.0 3.0 1.0	0
60	bad	Allen2007	xe44	?	坏	Jianchuan	xe₄₄	bad	417	CVT	x e ₄₄	3 7 8	AXT	GE5	7	7.G.C 7.E.V 7.5.T	1.6 3.0 1.0	0
61	bad	Allen2007	xe44	?	坏	Eryuan	xe₄₄	bad	417	CVT	x e ₄₄	3 7 8	AXT	GE5	4	4.G.C 4.E.V 4.5.T	1.6 3.0 1.0	0
62	bad	Allen2007	xe33	?	坏	Heqi	xe₃₃	bad	417	CVT	x e ₃₃	3 7 8	AXT	GE4	6	6.G.C 6.E.V 6.4.T	1.6 3.0 1.0	0
63	bad	Allen2007	xe44	?	坏	Lanping	xe₄₄	bad	417	CVT	x e ₄₄	3 7 8	AXT	GE5	10	10.G.C 10.E.V 10.5.T	1.6 3.0 1.0	0
64	bad	Allen2007	xe44	?	坏	Qiliqiao	xe₄₄	bad	417	CVT	x e ₄₄	3 7 8	AXT	GE5	13	13.G.C 13.E.V 13.5.T	1.6 3.0 1.0	0
65	bad	Allen2007	xɛ33	?	坏	Yunlong	xɛ₃₃	bad	417	CVT	x ɛ ₃₃	3 7 8	AXT	GE4	16	16.G.C 16.E.V 16.4.T	1.6 3.0 1.0	0
66	bad	Allen2007	xɛ44	?	坏	Xiangyun	xɛ₄₄	bad	417	CVT	x ɛ ₄₄	3 7 8	AXT	GE5	15	15.G.C 15.E.V 15.5.T	1.6 3.0 1.0	0
67	bad	Allen2007	ʈʰɯ33	?	坏	Luobenzhuo	ʈʰɯ₃₃	bad	417	CVT	ʈʰ ɯ ₃₃	1 7 8	AXT	TI4	11	11.T.C 11.I.V 11.4.T	1.6 3.0 1.0	0
#
68	bamboo	Wang2006a	tʂv42	?	?	Tuoluo	t͡ʂɤ₄₂	bamboo	389	CVT	t͡ʂ ɤ ₄₂	2 7 8	AXT	CE3	14	14.C.C 14.E.V 14.3.T	1.6 3.0 1.0	0
69	bamboo	Wang2006a	tsao24	?	?	Gongxing	t͡sao₂₄	bamboo	389	CVT	t͡s a o ₂₄	2 7 7 8	AXYT	CAU2	5	5.C.C 5.A.V 5.U.V 5.2.T	1.6 3.0 3.0 1.0	0
70	bamboo	Wang2006a	tɕo55	?	?	Enqi	t͡ɕo₅₅	bamboo	389	CVT	t͡ɕ o ₅₅	2 7 8	AXT	CU5	3	3.C.C 3.U.V 3.5.T	1.6 3.0 1.0	0
71	bamboo	Wang2006a	tɕu44	?	?	Ega	t͡ɕu₄₄	bamboo	389	CVT	t͡ɕ u ₄₄	2 7 8	AXT	CY5	2	2.C.C 2.Y.V 2.5.T	1.6 3.0 1.0	0
72	bamboo	Wang2006a	tɕu55	?	?	Jinman	t͡ɕu₅₅	bamboo	389	CVT	t͡ɕ u ₅₅	2 7 8	AXT	CY5	8	8.C.C 8.Y.V 8.5.T	1.6 3.0 1.0	0
73	bamboo	Wang2006a	tsv44	?	?	Jinxing	t͡sɤ₄₄	bamboo	389	CVT	t͡s ɤ ₄₄	2 7 8	AXT	CE5	9	9.C.C 9.E.V 9.5.T	1.6 3.0 1.0	0
74	bamboo	Wang2006a	tʂo33	?	?	Dashi	t͡ʂo₃₃	bamboo	389	CVT	t͡ʂ o ₃₃	2 7 8	AXT	CU4	1	1.C.C 1.U.V 1.4.T	1.6 3.0 1.0	0
75	bamboo	Wang2006a	tsv44	?	?	Zhoucheng	t͡sɤ₄₄	bamboo	389	CVT	t͡s ɤ ₄₄	2 7 8	AXT	CE5	17	17.C.C 17.E.V 17.5.T	1.6 3.0 1.0	0
76	bamboo	Wang2006a	tsu44	?	?	Mazhelong	t͡su₄₄	bamboo	389	CVT	t͡s u ₄₄	2 7 8	AXT	CY5	12	12.C.C 12.Y.V 12.5.T	1.6 3.0 1.0	0
77	bamboo	Allen2007	tsɤ44	?	竹子	Jianchuan	t͡sɤ₄₄	bamboo	92	CVT	t͡s ɤ ₄₄	2 7 8	AXT	CE5	7	7.C.C 7.E.V 7.5.T	1.6 3.0 1.0	0
78	bamboo	Allen2007	tʂɤ44	?	竹子	Eryuan	t͡ʂɤ₄₄	bamboo	92	CVT	t͡ʂ ɤ ₄₄	2 7 8	AXT	CE5	4	4.C.C 4.E.V 4.5.T	1.6 3.0 1.0	0
79	bamboo	Allen2007	tsuɔ44	?	竹子	Heqi	t͡suɔ₄₄	bamboo	92	CVT	t͡s u ɔ ₄₄	2 7 7 8	AXYT	CYU5	6	6.C.C 6.Y.V 6.U.V 6.5.T	1.6 3.0 3.0 1.0	0
80	bamboo	Allen2007	tsao55tsɯ33	?	竹子	Lanping	t͡sao₅₅t͡sɯ₃₃	bamboo	92	CVTCVT	t͡s a o ₅₅ t͡s ɯ ₃₃	2 7 7 8 2 7 8	AXYTBYT	CAU5CI4	10	10.C.C 10.A.V 10.U.V 10.5.T 10.C.C 10.I.V 10.4.T	1.6 3.0 3.0 1.0 1.3 3.0 1.0	0
81	bamboo	Allen2007	tsɤ44	?	竹子	Qiliqiao	t͡sɤ₄₄	bamboo	92	CVT	t͡s ɤ ₄₄	2 7 8	AXT	CE5	13	13.C.C 13.E.V 13.5.T	1.6 3.0 1.0	0
82	bamboo	Allen2007	tsɤ44	?	竹子	Yunlong	t͡sɤ₄₄	bamboo	92	CVT	t͡s ɤ ₄₄	2 7 8	AXT	CE5	16	16.C.C 16.E.V 16.5.T	1.6 3.0 1.0	0
83	bamboo	Allen2007	tsɛ44	?	竹子	Xiangyun	t͡sɛ₄₄	bamboo	92	CVT	t͡s ɛ ₄₄	2 7 8	AXT	CE5	15	15.C.C 15.E.V 15.5.T	1.6 3.0 1.0	0
84	bamboo	Allen2007	tɕo55ɖɯ31	?	竹子	Luobenzhuo	t͡ɕo₅₅ɖɯ₃₁	bamboo	92	CVTCVT	t͡ɕ o ₅₅ ɖ ɯ ₃₁	2 7 8 1 7 8	AXTBYT	CU5TI3	11	11.C.C 11.U.V 11.5.T 11.T.C 11.I.V 11.3.T	1.6 3.0 1.0 1.3 3.0 1.0	0
#
85	to bark	Wang2006a	ʐo42	verb	?	Tuoluo	ʐo₄₂	bark	1438	CVT	ʐ o ₄₂	3 7 8	AXT	SU3	14	14.S.C 14.U.V 14.3.T	1.6 3.0 1.0	0
