# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
4069	Gongxing	Han Chinese	haŋ₄₂	h a ŋ ₄₂	h a ŋ ₄₂	haŋ42	Han Chinese	Wang2006a	165	63	?	CVcT	?
4070	Enqi	Han Chinese	χa₄₃	χ a ₄₃	χ a - ₄₃	χa43	Han Chinese	Wang2006a	165	63	?	CVT	?
4071	Ega	Han Chinese	xa₄₂	x a ₄₂	x a - ₄₂	xa42	Han Chinese	Wang2006a	165	63	?	CVT	?
4072	Jinman	Han Chinese	xa₄₂	x a ₄₂	x a - ₄₂	xa42	Han Chinese	Wang2006a	165	63	?	CVT	?
4073	Jinxing	Han Chinese	xɑ̃₄₂	x ɑ̃ ₄₂	x ɑ̃ - ₄₂	xɑ̃42	Han Chinese	Wang2006a	165	63	?	CVT	?
4074	Dashi	Han Chinese	xã₄₂	x ã ₄₂	x ã - ₄₂	xã42	Han Chinese	Wang2006a	165	63	?	CVT	?
#
4706	Tuoluo	a half	fɤ₃₃	f ɤ ₃₃	- f ɤ ₃₃	fv33	a half	Wang2006a	832	230	?	CVT	?
4707	Gongxing	a half	pfw₂₂	p f w ₂₂	p f w ₂₂	pfw22	a half	Wang2006a	832	230	?	CCcT	?
4708	Enqi	a half	po₂₂	p o ₂₂	- p o ₂₂	po22	a half	Wang2006a	832	230	?	CVT	?
4709	Ega	a half	fe₂₂	f e ₂₂	- f e ₂₂	fe22	a half	Wang2006a	832	230	?	CVT	?
4710	Jinman	a half	fɚ₂₂	f ɚ ₂₂	- f ɚ ₂₂	fɚ22	a half	Wang2006a	832	230	?	CVT	?
4711	Zhoucheng	a half	po₂₁	p o ₂₁	- p o ₂₁	po21	a half	Wang2006a	832	230	?	CVT	?
4712	Mazhelong	a half	po₂₁	p o ₂₁	- p o ₂₁	po21	a half	Wang2006a	832	230	?	CVT	?
#
3893	Tuoluo	air; breath	t͡ɕʰi₄₂	t͡ɕʰ i ₄₂	t͡ɕʰ i ₄₂	tɕʰi42	air; breath	Wang2006a	20	12	?	CVT	?
3894	Gongxing	air; breath	t͡ɕʰi₅₅	t͡ɕʰ i ₅₅	t͡ɕʰ i ₅₅	tɕʰi55	air; breath	Wang2006a	20	12	?	CVT	?
3895	Enqi	air; breath	t͡ɕʰi₅₅	t͡ɕʰ i ₅₅	t͡ɕʰ i ₅₅	tɕʰi55	air; breath	Wang2006a	20	12	?	CVT	?
3896	Jinxing	air; breath	t͡ɕʰi₄₄	t͡ɕʰ i ₄₄	t͡ɕʰ i ₄₄	tɕʰi44	air; breath	Wang2006a	20	12	?	CVT	?
3897	Dashi	air; breath	t͡ɕʰi₄₄	t͡ɕʰ i ₄₄	t͡ɕʰ i ₄₄	tɕʰi44	air; breath	Wang2006a	20	12	?	CVT	?
3898	Zhoucheng	air; breath	t͡ɕʰi₅₅	t͡ɕʰ i ₅₅	t͡ɕʰ i ₅₅	tɕʰi55	air; breath	Wang2006a	20	12	?	CVT	?
