ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
222	Ukhrul	the wind	525949	960	9	wind	kʰə-nej	kʰ ə n e j
223	Ukhrul	the wind	526684	960	9	wind	mə-si	m ə s i
224	Ukhrul	the wind	527330	960	9	wind	kə-kʰuj	k ə kʰ u j
225	Ukhrul	the wind	527448	960	9	wind	kʰə-nɐj	kʰ ə n ɐ j
226	Ukhrul	the wing	525890	1257	298	wing	a-ŋə-caŋ	a ŋ ə c a ŋ
227	Ukhrul	the wing	526918	1257	298	wing	ʔa-ŋə-caŋ	ʔ a ŋ ə c a ŋ
228	Ukhrul	the woman	526751	962	174	child; woman	ʃi-naw	ʃ i n a w
229	Ukhrul	the year	525863	1226	777	year	tsiŋkum	ts i ŋ k u m
230	Ukhrul	the year	526836	1226	777	year	tsiŋ-kum	ts i ŋ k u m
231	Ukhrul	thick	525750	1244	980	thick	kə-ʃa	k ə ʃ a
232	Ukhrul	thick	526779	1244	980	thick	kə-sa	k ə s a
233	Ukhrul	thin (object)	526950	2307	981	thin or lean (be v.)	kʰə-ŋə-wa	kʰ ə ŋ ə w a
234	Ukhrul	thin (object)	526075	2307	981	thin (objects)	kə-ŋə-va	k ə ŋ ə v a
235	Ukhrul	thin (object)	526711	2307	981	dry up; be thin	kə-kaw	k ə k a w
236	Ukhrul	thou [second person singular]	526720	1215	931	thou	nɐ	n ɐ
237	Ukhrul	three	526798	492	799	three	kə-tʰum	k ə tʰ u m
238	Ukhrul	to be alive	527377	1422	1087	over (work, living, etc.) (be v.)	kʰə-ŋə-cɐŋ	kʰ ə ŋ ə c ɐ ŋ
239	Ukhrul	to be alive	526654	1422	1087	alive (be v.)	kʰə-riŋ	kʰ ə r i ŋ
240	Ukhrul	to bite	526655	1403	1753	bite	kʰə-mə-kej	kʰ ə m ə k e j
241	Ukhrul	to bite	527193	1403	1753	bite	kʰə-mə-kɐj	kʰ ə m ə k ɐ j
242	Ukhrul	to bite	527390	1403	1753	bite (crab)	kə-ci-cɐp	k ə c i c ɐ p
243	Ukhrul	to blow (of wind)	525772	175	1738	blow, extinguish	kʰə-mit	kʰ ə m i t
244	Ukhrul	to blow (of wind)	526920	175	1738	blow	kʰə-mə-ri	kʰ ə m ə r i
245	Ukhrul	to blow (of wind)	526153	175	1738	blow (wind)	kə-pʰan	k ə pʰ a n
246	Ukhrul	to blow (of wind)	526905	175	1738	blow (wind)	kə-pʰɐn	k ə pʰ ɐ n
247	Ukhrul	to burn [intransitive]	527362	1428	1269	burn (brick etc.)	kʰə-ŋan	kʰ ə ŋ a n
248	Ukhrul	to burn [intransitive]	526864	1428	1269	burn (firewood)	kʰə-rik	kʰ ə r i k
249	Ukhrul	to burn [intransitive]	526753	1428	1269	burn, ignite; burning fire	kə-cuj	k ə c u j
250	Ukhrul	to buy	526756	1869	1516	buy	kʰə-lo	kʰ ə l o
251	Ukhrul	to buy	527872	1869	1516	buy	kʰə-ro	kʰ ə r o
252	Ukhrul	to chew	527007	321	1424	chew	kə-ʃɐj	k ə ʃ ɐ j
253	Ukhrul	to come	525948	1446	1491	come	kʰə-ra	kʰ ə r a
254	Ukhrul	to count	527401	1420	1640	count	kə-cak	k ə c a k
255	Ukhrul	to count	528644	1420	1640	calculate; divide into shares	kʰə-ŋə-cuk	kʰ ə ŋ ə c u k
256	Ukhrul	to cry (weep)	527404	1839	1485	cry	kə-kə-cak	k ə k ə c a k
257	Ukhrul	to cry (weep)	525768	1839	1485	weep, cry	kə-cap	k ə c a p
258	Ukhrul	to cry (weep)	527385	1839	1485	weep, cry	kə-cɐp	k ə c ɐ p
259	Ukhrul	to die	526757	1494	1651	die	kə-tʰi	k ə tʰ i
260	Ukhrul	to dig	526652	1418	1698	dig	kə-cuj	k ə c u j
261	Ukhrul	to drink	525756	1401	1370	drink	kʰə-maŋ	kʰ ə m a ŋ
262	Ukhrul	to drink	526845	1401	1370	drink	kʰə-mɐŋ	kʰ ə m ɐ ŋ
263	Ukhrul	to eat	525760	1336	1198	eat (e.g. rice), dine	kə-tsa	k ə ts a
264	Ukhrul	to eat	526813	1336	1198	eat (fruit)	kə-ʃaj	k ə ʃ a j
265	Ukhrul	to eat	526792	1336	1198	eat (rice)	pʰɐ-kə-tsa	pʰ ɐ k ə ts a
266	Ukhrul	to eat	525983	1336	1198	eat	ʃaj	ʃ a j
267	Ukhrul	to fight	527935	1423	1234	fight (as wild bear)	kʰə-ŋə-hat	kʰ ə ŋ ə h a t
268	Ukhrul	to fight	526077	1423	1234	fight (with one another)	kʰə-ŋə-mu	kʰ ə ŋ ə m u
269	Ukhrul	to float	527279	1574	1553	float (v.i.)	kə-kʰɐj	k ə kʰ ɐ j
270	Ukhrul	to float	527280	1574	1553	float (v.t.)	kə-ci-kʰɐj	k ə c i kʰ ɐ j
271	Ukhrul	to flow	527892	2003	1502	flow (water)	kʰə-roŋ	kʰ ə r o ŋ
272	Ukhrul	to fly (move through air)	528257	1441	1318	fly	kʰə-joŋ	kʰ ə j o ŋ
273	Ukhrul	to fly (move through air)	526700	1441	1318	fly, jump	kə-paj	k ə p a j
274	Ukhrul	to fly (move through air)	528248	1441	1318	search out food (bees, fly, etc.)	kʰə-ji	kʰ ə j i
275	Ukhrul	to forget	525753	1523	1704	forget	mə-|laj-kə-taj	m ə |l a j k ə t a j
276	Ukhrul	to forget	526705	1523	1704	forget	kʰə-mə-|laj	kʰ ə m ə |l a j
277	Ukhrul	to forget	527730	1523	1704	forget	kʰə-mə-raj	kʰ ə m ə r a j
278	Ukhrul	to give	526640	1447	1345	give	kʰə-mi	kʰ ə m i
279	Ukhrul	to hear	526056	1408	1682	hear	kə-ʃa	k ə ʃ a
280	Ukhrul	to hear	526659	1408	1682	hear; listen, be obedient	kʰə-ŋə-na	kʰ ə ŋ ə n a
281	Ukhrul	to hide (conceal)	528399	602	1169	hide; to take shelter	kʰə-ŋə-jin	kʰ ə ŋ ə j i n
282	Ukhrul	to hide (conceal)	526644	602	1169	hide	kʰə-ŋə-tʰum	kʰ ə ŋ ə tʰ u m
283	Ukhrul	to hold	526167	1448	1709	hold	kə-siŋ	k ə s i ŋ
284	Ukhrul	to hold	527607	1448	1709	hold	kə-pok	k ə p o k
285	Ukhrul	to hold	527083	1448	1709	hold (a small thing)	kʰə-ŋə-ʃum	kʰ ə ŋ ə ʃ u m
286	Ukhrul	to hunt	527844	1435	1230	hunt	kʰə-reŋ	kʰ ə r e ŋ
287	Ukhrul	to hunt	528163	1435	1230	hunt	kə-kə-tsuŋ	k ə k ə ts u ŋ
288	Ukhrul	to kill	525744	1417	1602	kill	sa-kə-tʰat	s a k ə tʰ a t
289	Ukhrul	to kill	526636	1417	1602	kill	sa-kə-tʰɐt	s a k ə tʰ ɐ t
290	Ukhrul	to kill	528559	1417	1602	kill	kə-tʰɐt	k ə tʰ ɐ t
291	Ukhrul	to knead	526121	274	1594	knead	kʰə-naj	kʰ ə n a j
292	Ukhrul	to knead	526789	274	1594	knead	kʰə-ŋə-naj	kʰ ə ŋ ə n a j
293	Ukhrul	to know (something)	526730	1410	1398	know; see	kə-tʰej	k ə tʰ e j
294	Ukhrul	to laugh	527609	1355	1735	scream	kə-poŋ	k ə p o ŋ
295	Ukhrul	to laugh	526777	1355	1735	laugh	kʰə-mə-nu	kʰ ə m ə n u
296	Ukhrul	to laugh	527496	1355	1735	laugh, mock at	kʰə-mə-nɯ	kʰ ə m ə n ɯ
