ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
170	Bahing	the shoulder	122051	1482	90	back (n)	tsiŋ	ts i ŋ
171	Bahing	the skin	121825	763	120	skin, bark (n)	kokte	k o k t e
172	Bahing	the skin	121941	763	120	hide (oneself) (vr)	khlys-	kh l y s
173	Bahing	the skin	121712	763	120	peel (with the hands), shell, skin (vt)	øk-	ø k
174	Bahing	the skin	121940	763	120	hide (vt)	khlytt-	kh l y tt
175	Bahing	the sky	122414	1732	1	thunder, lightning strike (n)	preŋ	p r e ŋ
176	Bahing	the smoke	121850	778	19	smoke (n)	kyni	k y n i
177	Bahing	the snake	122508	730	347	snake or worm ?? (n)	bysa	b y s a
178	Bahing	the snow	122456	784	12	snow (n)	phym	ph y m
179	Bahing	the son	122188	1620	220	son (n)	ta, tawa	ta, tawa
180	Bahing	the spider	122548	843	361	spider (n)	ʔbadzoriŋma	ʔ b a d z o r i ŋ m a
181	Bahing	the star	122836	1430	5	star (n)	sor	s o r
182	Bahing	the stick	122560	1295	586	stick (sth. on sth.), patch (vt)	ʔbɔkt-	ʔ b ɔ k t
183	Bahing	the stick	122070	1295	586	rot (of stone or wood) (v)	tsɛm-	ts ɛ m
184	Bahing	the stick	122755	1295	586	wood (n)	siŋ	s i ŋ
185	Bahing	the stick	121921	1295	586	stick, stick together, (v)	khrim-	kh r i m
186	Bahing	the stick	121823	1295	586	stick (n)	koktso	k o k ts o
187	Bahing	the stone (a piece of)	122741	857	379	stone (n)	luŋ	l u ŋ
188	Bahing	the sun	122334	1343	2	sunshine (n)	nam	n a m
189	Bahing	the tail	122579	1220	267	tail (n)	meːri	m eː r i
190	Bahing	the thunder	122414	1150	8	thunder, lightning strike (n)	preŋ	p r e ŋ
191	Bahing	the tiger	122581	846	304	tiger (n)	mɛːma	m ɛː m a
192	Bahing	the tongue	122711	1205	139	tongue (n)	lɛm	l ɛ m
193	Bahing	the tooth (front)	121938	1380	137	tooth (n)	khly	kh l y
194	Bahing	the tree	122724	906	372	tree, Alstonia sp. (n df.)	wai-lasiŋ	w a i l a s i ŋ
195	Bahing	the tree	122809	906	372	tree, Lyonia ovalifolia (n df.)	sasima	s a s i m a
