ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
152	478865	ʔay.tyok.waʔ	bird (sp.), Red-headed Trogon	n.	RC-DOC	1977	Chepang	
153	478866	ʔay.raŋ	field (permanently cultivated)	n.	RC-DOC	1977	Chepang	
154	478867	ʔay.riʔ.(ʔamh)	millet variety, (cf. Dravidian, also South Munda əriq rice)	n.	RC-DOC	1977	Chepang	
155	478868	ʔay.laŋ.kliʔ	first stool passed by newborn baby, meconium	n.	RC-DOC	1977	Chepang	
156	478869	ʔay.sayʔ	cucumber	n.	RC-DOC	1977	Chepang	
157	478870	ʔayŋʔ.cak	standing up to fiercely (large person)	onom.	RC-DOC	1977	Chepang	
158	478871	ʔayŋʔ.tə ʔəyŋʔ	standing up to fiercely (two persons)	onom.	RC-DOC	1977	Chepang	
159	478872	ʔayh-	soft, easy	va.	RC-DOC	1977	Chepang	
160	478873	hluŋ ʔayh-	generous	vr.	RC-DOC	1977	Chepang	
161	478874	ʔayh.ŋat	soft gum (from Chyuri tree), used for birdlime	n.	RC-DOC	1977	Chepang	
162	478875	ʔara.ha	fierce fire, fiercely raging (fire)	n.	RC-DOC	1977	Chepang	
163	478876	ʔar.ya par.ya	riddled with holes	onom.	RC-DOC	1977	Chepang	
164	478877	ʔarʔ-	begin to appear, come into view (sun, moon, tooth, etc.)	vi.	RC-DOC	1977	Chepang	
165	478878	ʔarh.ʔarh	smoke badly, billow	onom.	RC-DOC	1977	Chepang	
166	478879	-ʔal	Perfect (Present), Recent Past (B)	fn.	RC-DOC	1977	Chepang	
167	478880	ʔal-	go	vi.	RC-DOC	1977	Chepang	
168	478881	ʔalʔ-	take, lead away	vt.	RC-DOC	1977	Chepang	
169	478882	hluŋ.ʔi ʔalʔ-	be enticed, forget oneself	vt.	RC-DOC	1977	Chepang	
170	478883	ʔaw.kalʔ	first-fruits of harvest	n.	RC-DOC	1977	Chepang	
171	478884	ʔaw.le.baŋ	honour	n.	RC-DOC	1977	Chepang	
172	478885	ʔawʔ-	brighten considerably (sun, moonlight)	vi.	RC-DOC	1977	Chepang	
173	478886	ʔawh-	begin to warm up (weather) through cloud	vi.	RC-DOC	1977	Chepang	
174	478887	ʔawh.rayʔ	hot season	n.	RC-DOC	1977	Chepang	
175	478888	ʔas-	make noise intentionally (WD)	vi.	RC-DOC	1977	Chepang	
176	478889	ʔasə-	happy, hopeful (<N asha hope)	vr.	RC-DOC	1977	Chepang	
177	478890	ʔas.kam	shaman's skills, chants; assistance of shaman's familar (ch.)	n.	RC-DOC	1977	Chepang	
178	478891	ʔahə-	cloying, thirst-causing	vrt.	RC-DOC	1977	Chepang	
