OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5492	t͡ɕɛ̃₃₅t͡sɿ₅₅xou₃₃	t͡ɕ ɛ̃ ₃₅ t͡s ɿ ₅₅ x o u ₃₃	1408	Allen2007, 490	where / 哪里	tɕɛ̃35tsɿ55xou33	t͡ɕ ɛ̃ ₃₅ t͡s ɿ ₅₅ x o u ₃₃
4160	pi₃₅	p i ₃₅	1429	Allen2007, 6	wind / 风	pi35	p i ₃₅
7709	kʰɔu₄₄	kʰ ɔ u ₄₄	153	Allen2007, 349	cry / 哭	kʰɔu44	kʰ ɔ u ₄₄
3455	sue₄₄	s u e ₄₄	1077	Allen2007, 11	snow / 雪	sue44	s u e ₄₄
443659	xu₃₃	x u ₃₃	382	Allen2007, 416	good / 好	xu33	x u ₃₃
5650	xɛ₄₄	x ɛ ₄₄	20	Allen2007, 417	bad / 坏	xɛ44	x ɛ ₄₄
1675	t͡sʰu₃₃	t͡sʰ u ₃₃	396	Allen2007, 112	grass / 草	tsʰu33	t͡sʰ u ₃₃
446278	tou₂₁ma₃₅	t o u ₂₁ m a ₃₅	420	Allen2007, 125	hair / 头发	tou21ma35	t o u ₂₁ m a ₃₅
5439	pia₄₂	p i a ₄₂	28	Allen2007, 382	bark(of dog) / 吠	pia42	p i a ₄₂
3361	jɛ̃₃₃t͡sʰu₃₃	j ɛ̃ ₃₃ t͡sʰ u ₃₃	998	Allen2007, 114	seed / 种子	jɛ̃33tsʰu33	j ɛ̃ ₃₃ t͡sʰ u ₃₃
7800	pɛ̃₃₁	p ɛ̃ ₃₁	533	Allen2007, 378	be sick,ill / 病	pɛ̃31	p ɛ̃ ₃₁
6068	t͡sʰu₅₅	t͡sʰ u ₅₅	892	Allen2007, 276	push / 推	tsʰu55/ma35	t͡sʰ u ₅₅
509787	xẽ₅₅mɛ₂₁	x ẽ ₅₅ m ɛ ₂₁	1277	Allen2007, 9	thunder(vb) / 打雷	xẽ55mɛ21	x ẽ - ₅₅ m ɛ - ₂₁
6032	lɯ₄₄	l ɯ ₄₄	397	Allen2007, 411	green / 绿	lɯ44	l ɯ ₄₄
1446	xue₃₃	x u e ₃₃	316	Allen2007, 24	fire / 火	xue33	x u e ₃₃
5995	miɛ₃₅	m i ɛ ₃₅	746	Allen2007, 242	name / 名字	miɛ35	m i ɛ ₃₅
6312	t͡sɿ₄₂	t͡s ɿ ₄₂	1199	Allen2007, 459	ten / 十	tsɿ42	t͡s ɿ ₄₂
6069	se₃₃	s e ₃₃	1370	Allen2007, 320	wash / 洗	se33	s e ₃₃
6041	ɕɛ̃₅₅kʰɔ₃₃	ɕ ɛ̃ ₅₅ kʰ ɔ ₃₃	1127	Allen2007, 4	star / 星星	ɕɛ̃55kʰɔ33	ɕ ɛ̃ ₅₅ kʰ ɔ ₃₃
