# Wordlist

# DATA
ID	POS	CONCEPT	LGID	RGEN	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	DOCULECT	SRCID	SRCABBR	ID_IN_SOURCE	IPA	TOKENS	SOURCE	TAXON_NAME_IN_SOURCE	SUBGROUP
53233	num	all	1833	394560	all / everything	ʑi⁵⁵sɑ⁵⁵	Yi_Weishan	0962.36	TBL	53233	ʑi⁵⁵sɑ⁵⁵	ʑ i ⁵⁵ ◦ s ɑ ⁵⁵	STEDT/TBL	Yi (Weishan)	Northern Loloish
8552	num	all	1808	394537	all / everything	tə⁵⁵ɬye⁵⁵	Queyu_Xinlong	0962.13	TBL	8552	tə⁵⁵ɬye⁵⁵	t ə ⁵⁵ ◦ ɬ y e ⁵⁵	STEDT/TBL	Queyu (Xinlong)	Qiangic
62493	num	all	1838	394564	all / everything	hɑ̃³³ŋɑ̱³³ mɑ̱³³	Lisu	0962.40	TBL	62493	hɑ̃³³ŋɑ̱³³ mɑ̱³³	h ɑ̃ ∼ ³³ ◦ ŋ ɑ̱ ³³ _ m ɑ̱ ³³	STEDT/TBL	Lisu	Central Loloish
21598	num	all	1815	394526	all / everything	tshaŋ⁵⁵ma⁵⁵	Tibetan_Lhasa	0962.02	TBL	21598	tshaŋ⁵⁵ma⁵⁵	tsh a ŋ ⁵⁵ ◦ m a ⁵⁵	STEDT/TBL	Tibetan (Lhasa)	Tibetan
75261	num	all	1845	394571	all / everything	*	Gazhuo	0962.47	TBL	75261	*	*	STEDT/TBL	Gazhuo	Northern Loloish
58901	num	all	1836	394563	all / everything	ɪ⁵⁵dzɤ³³	Yi_Sani	0962.39	TBL	58901	ɪ⁵⁵dzɤ³³	ɪ ⁵⁵ ◦ dz ɤ ³³	STEDT/TBL	Yi (Sani)	Central Loloish
25431	num	all	1817	394545	all / everything	*	Nung	0962.21	TBL	25431	*	*	STEDT/TBL	Nung	Nungic
10394	num	all	1809	394538	all / everything	jo³³dzo⁵⁵	Zhaba_Daofu_County	0962.14	TBL	10394	jo³³dzo⁵⁵	j o ³³ ◦ dz o ⁵⁵	STEDT/TBL	Zhaba (Daofu County)	Qiangic
26907	num	all	1818	394546	all / everything	*	Darang_Taraon	0962.22	TBL	26907	*	*	STEDT/TBL	Darang [Taraon]	Deng
64325	num	all	1839	394565	all / everything	*	Hani_Lüchun	0962.41	TBL	64325	*	*	STEDT/TBL	Hani (Lüchun)	Southern Loloish
