lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
208774				vəʴ⁵³	hold (baby) in arms		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	564.52	6.16	Holding	0
211426				vɛʴ³³	buy		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	616.52	6.22	Exchanges	0
220351				wat³³	wither		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	791.52	3.1.10	Verbs involving plants	0
210304				waŋ⁵³	pry		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	594.52	6.2.2.1	Assorted action verbs	0
212293				waʴt³³	kill		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	633.52	6.4	Harm	0
199186				waʴt⁵³	clothes		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	376.52	5.11.8.2.1	Clothes (general)	0
199798				waʴt⁵³	cloth		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	388.52	5.1	Waste products	0
207346	688			we³³	chew		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	536.52	1.3.4	Tooth	0
188119	5400			wuoŋ³³	spider		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	159.52	2.2.6	Insects, Arachnids, and Worms	0
226675			5:b?	wu³³	five		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	915.52	9.9	Numbers and numeric expression	0
219739				wɔŋ⁵³	drunk		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	779.52	1.3.5.9	Drink	0
217495				wɛ⁵³	have		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	735.52	8.2	Abstract verbs	0
213925				zak³³	load	v	1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	665.52	6.2.2.1	Assorted action verbs	0
213976				zak³³təŋ⁵³	stuff (hole) up		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	666.52	9.5	Change of state	0
