ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	ALT_IPA	ALT_GLOSS	ALT_SOURCE	ALT_CHARS	ALT_CHINESE_GLOSS	IPA	HANZI	SOURCE	TOKENS	COGIDS	ALIGNMENT	NOTE	RANK
596	Fuzhou	cold (of temperature)	1287	1063	cold	凍						tøyŋ²¹³	凍	BeijingDaxue1964	t ø y ŋ ²¹³	515			64
801	Guangzhou	cold (of temperature)	1287	1063	cold	冷	toŋ³³ / laŋ²³	cold / cold	Hou2004 / Liu2007	冻 / 冷	冷 / 冷	laŋ²³	冷	BeijingDaxue1964	l a ŋ ²³	29	l - a ŋ ²³		64
802	Guangzhou	cold (of temperature)	1287	1063	cold	凍						tʊŋ³³	凍	BeijingDaxue1964	t ʊ ŋ ³³	515			64
1001	Jinan	cold (of temperature)	1287	1063	cold	冷	ləŋ⁵⁵ / ləŋ⁴⁵	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	ləŋ⁵⁵	冷	BeijingDaxue1964	l ə ŋ ⁵⁵	29	l - ə ŋ ⁵⁵		64
1194	Meixian	cold (of temperature)	1287	1063	cold	冷	hon¹¹ / laŋ³³	cold / cold	Hou2004 / Liu2007	寒 / 冷	冷 / 冷	laŋ⁴⁴	冷	BeijingDaxue1964	l a ŋ ⁴⁴	29	l - a ŋ ⁴⁴		64
1386	Nanchang	cold (of temperature)	1287	1063	cold	冷	lɑŋ²¹³ / laŋ²¹³	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	laŋ²¹³	冷	BeijingDaxue1964	l a ŋ ²¹³	29	l - a ŋ ²¹³		64
1579	Suzhou	cold (of temperature)	1287	1063	cold	冷	lã∼³¹ / in⁵¹³ / la²³¹	cold / cold / cold	Hou2004 / Hou2004 / Liu2007	冷 / 瀴 / 冷	冷 / 冷 / 冷	laŋ³¹	冷	BeijingDaxue1964	l a ŋ ³¹	29	l - a ŋ ³¹		64
1788	Wenzhou	cold (of temperature)	1287	1063	cold	冷	liɛ³⁵ / liɛ²⁴²	cold / cold	Hou2004 / Liu2007	冷 / 冷	冷 / 冷	liɛ²⁴	冷	BeijingDaxue1964	l i ɛ ²⁴	29	l i ɛ - ²⁴		64
1978	Xiamen	cold (of temperature)	1287	1063	cold	寒	kuã∼³⁵ / liŋ⁵³ / liŋ⁵³ / tsʰin²¹ / kuã∼²⁴	cold / cold / cold / cold / cold	Hou2004 / Hou2004 / Liu2007 / Liu2007 / Liu2007	寒 / 冷 / 冷 / 凊 / 寒	冷 / 冷 / 冷 / 冷 / 冷	kũã∼²⁴	寒	BeijingDaxue1964	k ũ ã ∼ ²⁴	514			64
1979	Xiamen	cold (of temperature)	1287	1063	cold	冷						liŋ⁵¹	冷	BeijingDaxue1964	l i ŋ ⁵¹	29	l - i ŋ ⁵¹		64
3125	Chaozhou	cold (of temperature)														0			64
2228	Beijing	correct (right)														0			245
2306	Changsha	correct (right)														0			245
2384	Chengdu	correct (right)														0			245
