ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	IPA	HANZI	SOURCE	TOKENS
2343	Xiamen	cold (of temperature)	1287	1063	cold // cold // cold // cold // cold // cold // cold	冷 // 冷 // 冷 // 冷 // 冷 // 冷 // 冷	kũã∼²⁴ // liŋ⁵¹ // kuã∼³⁵ // liŋ⁵³ // liŋ⁵³ // tsʰin²¹ // kuã∼²⁴	寒 // 冷 // 寒 // 冷 // 冷 // 凊 // 寒	BeijingDaxue1964, BeijingDaxue1964, Hou2004, Hou2004, Liu2007, Liu2007, Liu2007	k ũ ã ∼ ²⁴
25	Beijing	correct (right)	1725	1045	just right // correct	正好 // 對	ʈʂəŋ⁵¹+xaur²¹⁴ // tuei⁵¹	正好 // 對	Hou2004, Liu2007	ʈʂ ə ŋ ⁵¹ + x a u r ²¹⁴
257	Changsha	correct (right)	1725	1045	just right // just right // correct	正好 // 正好 // 對	kan³³+xau⁴¹ // tɕʰia²⁴+xo²⁴ // tei⁵⁵	刚好 // 恰合 // 對	Hou2004, Hou2004, Liu2007	k a n ³³ + x a u ⁴¹
489	Chengdu	correct (right)	1725	1045	just right // just right // just right // just right // correct	正好 // 正好 // 正好 // 正好 // 對	tsən¹³+xau⁵³ // kaŋ⁵⁵+xau⁵³ // tɕʰia³¹+xau⁵³ // tɕʰia³¹+tɕʰia³¹ // tuei²¹³	正好 // 刚好 // 恰好 // 恰恰 // 對	Hou2004, Hou2004, Hou2004, Hou2004, Liu2007	ts ə n ¹³ + x a u ⁵³
721	Fuzhou	correct (right)	1725	1045	just right // just right // just right // correct	正好 // 正好 // 正好 // 對	tsiaŋ²¹²/⁵³+ŋo³² // tsiaŋ²¹²/²¹+jiaŋ²¹²/⁵³+ŋo³² // tu³²/²¹+lu³²/³⁵+ho³² // mo²¹/⁵³+laŋ²⁴²	正好 // 正正好 // 赌赌好 // 無 綻	Hou2004, Hou2004, Hou2004, Liu2007	ts i a ŋ ²¹²/⁵³ + ŋ o ³²
953	Guangzhou	correct (right)	1725	1045	just right // correct	正好 // 對	ŋam⁵³+hou³⁵ // tøy³³	啱好 // 對	Hou2004, Liu2007	ŋ a m ⁵³ + h o u ³⁵
1185	Jinan	correct (right)	1725	1045	just right // just right // just right // correct	正好 // 正好 // 正好 // 對	tɕiaŋ²¹³+xɔ⁵⁵ // ʈʂəŋ²¹+xɔ⁵⁵ // ʈʂəŋ²¹+ʈʂəŋ²¹+xɔ⁵⁵/⁴²+xɔ⁵⁵ // tuei³¹	刚好 // 正好 // 正正好好 // 對	Hou2004, Hou2004, Hou2004, Liu2007	tɕ i a ŋ ²¹³ + x ɔ ⁵⁵
1417	Meixian	correct (right)	1725	1045	just right // correct	正好 // 對	tsaŋ⁵³/⁵⁵+hau³¹ // tui⁵³	正好 // 對	Hou2004, Liu2007	ts a ŋ ⁵³/⁵⁵ + h a u ³¹
1649	Nanchang	correct (right)	1725	1045	just right // just right // correct	正好 // 正好 // 對	tsɨn⁴⁵+hɑu²¹³ // kɔŋ⁴²+hɑu²¹³ // tui⁴⁵	正好 // 刚好 // 對	Hou2004, Hou2004, Liu2007	ts ɨ n ⁴⁵ + h ɑ u ²¹³
1881	Suzhou	correct (right)	1725	1045	just right // correct	正好 // 對	tsən⁵¹³/⁵⁵+hæ⁵¹/²¹ // te̞⁴¹²	正好 // 對	Hou2004, Liu2007	ts ə n ⁵¹³/⁵⁵ + h æ ⁵¹/²¹
2113	Wenzhou	correct (right)	1725	1045	just right // just right // correct	正好 // 正好 // 對	tseŋ⁴²+hɜ³⁵ // tseŋ⁴²/²¹+tseŋ⁴²+hɜ³⁵ // tai⁵¹	正好 // 正正好 // 對	Hou2004, Hou2004, Liu2007	ts e ŋ ⁴² + h ɜ ³⁵
2345	Xiamen	correct (right)	1725	1045	just right // just right // just right // just right // correct	正好 // 正好 // 正好 // 正好 // 對	tu⁵³/⁵⁵+tu⁵³/⁵⁵+a⁵³/⁵⁵+ho⁵³ // tu⁵³/⁵⁵+tu⁵³/⁵⁵+ho⁵³ // tu⁵³/⁵⁵+a⁵³/⁵⁵+ho⁵³ // tu⁵³/⁵⁵+ho⁵³ // tui²¹	拄拄仔好 // 拄仔好 // 拄仔好 // 拄好 // 對	Hou2004, Hou2004, Hou2004, Hou2004, Liu2007	t u ⁵³/⁵⁵ + t u ⁵³/⁵⁵ + a ⁵³/⁵⁵ + h o ⁵³
28	Beijing	dark	706	1013	dark	暗	xei⁵⁵	黑	BeijingDaxue1964	x e i ⁵⁵
260	Changsha	dark	706	1013	dark	暗	ŋan⁵⁵	暗	BeijingDaxue1964	ŋ a n ⁵⁵
492	Chengdu	dark	706	1013	dark	暗	xe³¹	黑	BeijingDaxue1964	x e ³¹
724	Fuzhou	dark	706	1013	dark	暗	aŋ²¹³	暗	BeijingDaxue1964	a ŋ ²¹³
956	Guangzhou	dark	706	1013	dark	暗	hɐk⁵	黑	BeijingDaxue1964	h ɐ k ⁵
1188	Jinan	dark	706	1013	dark // dark	暗 // 暗	xei²¹³ // ŋæ̃∼²¹	黑 // 暗	BeijingDaxue1964, BeijingDaxue1964	x e i ²¹³
1420	Meixian	dark	706	1013	dark	暗	am⁴²	暗	BeijingDaxue1964	a m ⁴²
1652	Nanchang	dark	706	1013	dark	暗	ŋɔn⁵⁵	暗	BeijingDaxue1964	ŋ ɔ n ⁵⁵
