# Wordlist

# META
@tree:(((((Beijing,Shenyang),Jinan),Xian),((((Changsha,Nanchang),((((((Chaozhou,Xiamen),Fuzhou),Meixian),(Guangzhou,Yangjiang)),Wenzhou),Suzhou)),(Hefei,Yangzhou)),Kunming)),Chengdu);

# DATA
ID	DOCULECT	CONCEPT	HANZI	ENTRY_IN_SOURCE	BEIDA_ID	IPA	TOKENS	NOTE	GLOSS_IN_SOURCE	COGID	ALIGNMENT
16318	Hefei	below, under	下頭	ɕia⁵³tʰɯ⁰	472	ɕia⁵³tʰɯ⁰	ɕ i a ⁵³ tʰ ɯ ⁰		under, below	118	ɕ i a ⁵³ tʰ - ɯ ⁰
16320	Yangzhou	below, under	下頭	xɑ⁵⁵tʰɤɯ⁰	472	xɑ⁵⁵tʰɤɯ⁰	x ɑ ⁵⁵ tʰ ɤ ɯ ⁰		under, below	118	x ɑ - ⁵⁵ tʰ ɤ ɯ ⁰
16321	Yangzhou	below, under	底下	[2] ti⁴²ɕiɑ⁰	472	ti⁴²ɕiɑ⁰	t i ⁴² ɕ i ɑ ⁰	[2]	under, below	423	t i ⁴² ɕ i ɑ ⁰
16322	Suzhou	below, under	下頭	ɦo³¹₂₂dʏ²⁴₃₃	472	ɦo³¹₂₂dʏ²⁴₃₃	ɦ o ³¹₂₂ d ʏ ²⁴₃₃		under, below	118	ɦ o - ³¹₂₂ d - ʏ ²⁴₃₃
16323	Wenzhou	below, under	下面	ho²⁴mai¹¹	472	ho²⁴mai¹¹	h o ²⁴ m a i ¹¹		under, below	117	h - o ²⁴ m a i - ¹¹
16324	Changsha	below, under	下頭	xa²¹təu⁰	472	xa²¹təu⁰	x a ²¹ t ə u ⁰		under, below	118	x a - ²¹ t ə u ⁰
16325	Nanchang	below, under	下頭	ha³¹tʰɛu²⁴	472	ha³¹tʰɛu²⁴	h a ³¹ tʰ ɛ u ²⁴		under, below	118	h a - ³¹ tʰ ɛ u ²⁴
16327	Meixian	below, under	下背	ha²⁴pɔi⁴²	472	ha²⁴pɔi⁴²	h a ²⁴ p ɔ i ⁴²		under, below	114	h a ²⁴ p ɔ i ⁴²
16328	Guangzhou	below, under	下便	*ha²²pin²²	472	ha²²pin²²	h a ²² p i n ²²	[*]	under, below	111	h a ²² p i n ²²
16329	Yangjiang	below, under	下低	ha⁴⁵⁴tɐi³³	472	ha⁴⁵⁴tɐi³³	h a ⁴⁵⁴ t ɐ i ³³		under, below	110	h a ⁴⁵⁴ t ɐ i ³³
16330	Xiamen	below, under	下骹	e³³₁₁kʰa⁴⁴	472	e³³₁₁kʰa⁴⁴	e ³³₁₁ kʰ a ⁴⁴		under, below	120	e ³³₁₁ kʰ a ⁴⁴
16331	Xiamen	below, under	下面	[2] e³³₁₁bin³³	472	e³³₁₁bin³³	e ³³₁₁ b i n ³³	[2]	under, below	117	- - e ³³₁₁ b i - n ³³
16332	Xiamen	below, under	下底	[3] e³³₁₁tue⁵¹	472	e³³₁₁tue⁵¹	e ³³₁₁ t u e ⁵¹	[3]	under, below	112	e ³³₁₁ t u e ⁵¹
16333	Chaozhou	below, under	下畔	e³⁵₂₁põi⁵⁵	472	e³⁵₂₁põi⁵⁵	e ³⁵₂₁ p õ i ∼ ⁵⁵		under, below	113	e ³⁵₂₁ p õ i ∼ ⁵⁵
16334	Fuzhou	below, under	下底	a²⁴²₃₁lɛ³¹(t-)	472	a²⁴²₃₁lɛ³¹	a ²⁴²₃₁ l ɛ ³¹		under, below	112	a ²⁴²₃₁ l - ɛ ³¹
#
26011	Beijing	big	大	ta⁵¹	691	ta⁵¹	t a ⁵¹		big	317	t a - - ⁵¹
26012	Jinan	big	大	ta²¹	691	ta²¹	t a ²¹		big	317	t a - - ²¹
26013	Shenyang	big	大	ta⁴¹	691	ta⁴¹	t a ⁴¹		big	317	t a - - ⁴¹
26014	Xian	big	大	tɑ⁴⁵	691	tɑ⁴⁵	t ɑ ⁴⁵		big	317	t ɑ - - ⁴⁵
26015	Chengdu	big	大	ta¹³	691	ta¹³	t a ¹³		big	317	t a - - ¹³
26016	Kunming	big	大	ta¹³	691	ta¹³	t a ¹³		big	317	t a - - ¹³
26017	Hefei	big	大	ta⁵³	691	ta⁵³	t a ⁵³		big	317	t a - - ⁵³
26018	Yangzhou	big	大	tɑ⁵⁵	691	tɑ⁵⁵	t ɑ ⁵⁵		big	317	t ɑ - - ⁵⁵
26019	Suzhou	big	大	dəu³¹	691	dəu³¹	d ə u ³¹		big	317	d ə u - ³¹
26020	Wenzhou	big	大	du¹¹	691	du¹¹	d u ¹¹		big	317	d u - - ¹¹
26021	Changsha	big	大	tai²¹	691	tai²¹	t a i ²¹		big	317	t a i - ²¹
26022	Nanchang	big	大	tʰai³¹	691	tʰai³¹	tʰ a i ³¹		big	317	tʰ a i - ³¹
26023	Meixian	big	大	tʰai⁴²	691	tʰai⁴²	tʰ a i ⁴²		big	317	tʰ a i - ⁴²
26024	Guangzhou	big	大	tai²²	691	tai²²	t a i ²²		big	317	t a i - ²²
26025	Yangjiang	big	大	tai⁴⁵⁴	691	tai⁴⁵⁴	t a i ⁴⁵⁴		big	317	t a i - ⁴⁵⁴
26026	Xiamen	big	大	tua³³	691	tua³³	t u a ³³		big	317	t u a - ³³
26027	Chaozhou	big	大	tua¹¹	691	tua¹¹	t u a ¹¹		big	317	t u a - ¹¹
