# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	GLOSS_IN_SOURCE	SOURCE	ENTRY_IN_SOURCE	POS	CHINESE_GLOSS	DOCULECT	IPA	CONCEPT	ID_IN_SOURCE	PST
205	bird	Wang2006a	tsu24	?	?	Gongxing	t͡su₂₄	bird	326	CVT
206	bird	Wang2006a	tsu55	?	?	Enqi	t͡su₅₅	bird	326	CVT
207	bird	Wang2006a	tsu44	?	?	Ega	t͡su₄₄	bird	326	CVT
208	bird	Wang2006a	tso55	?	?	Jinman	t͡so₅₅	bird	326	CVT
209	bird	Wang2006a	tsou44	?	?	Jinxing	t͡sou₄₄	bird	326	CVT
210	bird	Wang2006a	tsou33	?	?	Dashi	t͡sou₃₃	bird	326	CVT
211	bird	Wang2006a	tsou44	?	?	Zhoucheng	t͡sou₄₄	bird	326	CVT
212	bird	Wang2006a	tso44	?	?	Mazhelong	t͡so₄₄	bird	326	CVT
213	bird	Allen2007	tsou44tsɿ33	?	鸟	Jianchuan	t͡sou₄₄t͡sɿ₃₃	bird	61	CVTCVT
214	bird	Allen2007	tsɔ55	?	鸟	Eryuan	t͡sɔ₅₅	bird	61	CVT
215	bird	Allen2007	tsou44tsɿ33	?	鸟	Heqi	t͡sou₄₄t͡sɿ₃₃	bird	61	CVTCVT
216	bird	Allen2007	tsu55tsɿ55	?	鸟	Lanping	t͡su₅₅t͡sɿ₅₅	bird	61	CVTCVT
217	bird	Allen2007	tso44	?	鸟	Qiliqiao	t͡so₄₄	bird	61	CVT
218	bird	Allen2007	tsu44	?	鸟	Yunlong	t͡su₄₄	bird	61	CVT
219	bird	Allen2007	tsɔ44	?	鸟	Xiangyun	t͡sɔ₄₄	bird	61	CVT
220	bird	Allen2007	tsuɔ55	?	鸟	Luobenzhuo	t͡suɔ₅₅	bird	61	CVT
#
221	bitter	Wang2006a	qʰo33	?	?	Tuoluo	qʰo₃₃	bitter	1074	CVT
222	bitter	Wang2006a	q|hmu22	?	?	Gongxing	q|hmu₂₂	bitter	1074	CCCVT
223	bitter	Wang2006a	qʰu22	?	?	Enqi	qʰu₂₂	bitter	1074	CVT
224	bitter	Wang2006a	qʰu22	?	?	Ega	qʰu₂₂	bitter	1074	CVT
225	bitter	Wang2006a	qʰu22	?	?	Jinman	qʰu₂₂	bitter	1074	CVT
226	bitter	Wang2006a	qʰu22	?	?	Jinxing	qʰu₂₂	bitter	1074	CVT
227	bitter	Wang2006a	kʰu33	?	?	Dashi	kʰu₃₃	bitter	1074	CVT
228	bitter	Wang2006a	kʰu31	?	?	Zhoucheng	kʰu₃₁	bitter	1074	CVT
229	bitter	Wang2006a	kʰu33kʰǝɯ33	?	?	Mazhelong	kʰu₃₃kʰǝɯ₃₃	bitter	1074	CVTCVT
230	bitter	Allen2007	kʰu33	?	苦	Jianchuan	kʰu₃₃	bitter	438	CVT
231	bitter	Allen2007	kʰu33	?	苦	Eryuan	kʰu₃₃	bitter	438	CVT
232	bitter	Allen2007	kʰu33	?	苦	Heqi	kʰu₃₃	bitter	438	CVT
233	bitter	Allen2007	kʰu44	?	苦	Lanping	kʰu₄₄	bitter	438	CVT
234	bitter	Allen2007	kʰu33	?	苦	Qiliqiao	kʰu₃₃	bitter	438	CVT
235	bitter	Allen2007	kʰu33	?	苦	Yunlong	kʰu₃₃	bitter	438	CVT
236	bitter	Allen2007	kʰu33	?	苦	Xiangyun	kʰu₃₃	bitter	438	CVT
237	bitter	Allen2007	qʰɤ33	?	苦	Luobenzhuo	qʰɤ₃₃	bitter	438	CVT
#
238	black	Wang2006a	[xɚ42]	?	?	Tuoluo	xɚ₄₂	black	1005	CVT
239	black	Wang2006a	χe24	?	?	Gongxing	χe₂₄	black	1005	CVT
240	black	Wang2006a	χɯ55	?	?	Enqi	χɯ₅₅	black	1005	CVT
241	black	Wang2006a	xɯ44	?	?	Ega	xɯ₄₄	black	1005	CVT
