OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5503	ʧʰu₅₅	ʧʰ u ₅₅	1243	Allen2007, 392	thick,coarse / 粗	ʧʰu55	ʧʰ u ₅₅
1287831	nɔ₄₄pæ̃₅₅xɯ̃₃₃	n ɔ ₄₄ p æ̃ ₅₅ x ɯ̃ ₃₃	456	Allen2007, 485	here / 这里	nɔ44pæ̃55xɯ̃33	n ɔ ₄₄ p æ̃ ₅₅ x ɯ̃ ₃₃
5458	nɔ₄₄	n ɔ ₄₄	1253	Allen2007, 484	this / 这	nɔ44	n ɔ ₄₄
950344	tõ₂₁	t õ ₂₁	541	Allen2007, 147	intestine,gut / 肠子	tõ21	t õ ₂₁
6042	ɕõ₃₃	ɕ õ ₃₃	364	Allen2007, 12	frost / 霜	ɕõ33	ɕ õ ₃₃
5983	qua₅₅t͡sɛ₄₄	q u a ₅₅ t͡s ɛ ₄₄	97	Allen2007, 144	bone / 骨头	qua55tsɛ44	q u a ₅₅ t͡s - ɛ ₄₄
5490	a₅₅tɔ₃₁	a ₅₅ t ɔ ₃₁	1410	Allen2007, 488	who / 谁	a55tɔ31	a ₅₅ t ɔ ₃₁ - -
5440	ʈæ̃₄₂	ʈ æ̃ ₄₂	1290	Allen2007, 132	tongue / 舌头	ʈæ̃42	ʈ æ̃ ₄₂
5639	kɯ₅₅	k ɯ ₅₅	136	Allen2007, 434	cold / 冷	kɯ55	k ɯ ₅₅
869106	t͡sʰuɔ₅₅	t͡sʰ u ɔ ₅₅	768	Allen2007, 397	near / 近	tsʰuɔ55	t͡sʰ u ɔ ₅₅
340828	sæ̃₄₂	s æ̃ ₄₂	252	Allen2007, 84	egg / 蛋	sæ̃42	s æ̃ ₄₂
7004	t͡ɕʰi₄₄	t͡ɕʰ i ₄₄	999	Allen2007, 456	seven / 七	tɕʰi44	t͡ɕʰ i ₄₄
1333710	ʈʰa₅₅	ʈʰ a ₅₅	910	Allen2007, 406	red / 红	ʈʰa55	ʈʰ a ₅₅
