ID	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
313643	eːng¹ > eːn¹	covet	v	PB-CLDB	1778	Tiddim	296
313645	eːng²	excessive activity		PB-CLDB	1778	Tiddim	297
313646	ga?³	bear fruit	v	PB-CLDB	1778	Tiddim	298
313647	ga?³	fruit		PB-CLDB	1778	Tiddim	299
313649	gai³ > gai?³	eat up everything	v	PB-CLDB	1778	Tiddim	300
313650	gam¹	annihilated	vi	PB-CLDB	1778	Tiddim	301
313651	gam¹	dry	vi	PB-CLDB	1778	Tiddim	302
313652	gam²	country; land		PB-CLDB	1778	Tiddim	303
313654	gam² keːl¹	wild goat		PB-CLDB	1778	Tiddim	304
313656	gam² la¹	far		PB-CLDB	1778	Tiddim	305
313657	gam² lum²	noise		PB-CLDB	1778	Tiddim	306
313658	gam² meng²	province		PB-CLDB	1778	Tiddim	307
313659	gam² va¹ khu²	turtle dove		PB-CLDB	1778	Tiddim	308
313660	gam² vok¹	wild boar		PB-CLDB	1778	Tiddim	309
313661	gam?³	inheritance		PB-CLDB	1778	Tiddim	310
313663	gan²	animal		PB-CLDB	1778	Tiddim	311
313665	gan² hon¹	herd		PB-CLDB	1778	Tiddim	312
313666	gan³ hing²	animal		PB-CLDB	1778	Tiddim	313
313667	gan³ hing² neu¹	insects		PB-CLDB	1778	Tiddim	314
313668	gang¹ > gan¹	flow in abundance	v	PB-CLDB	1778	Tiddim	315
313669	gang²	father's sister's husband		PB-CLDB	1778	Tiddim	316
313670	gang² no¹	father's younger sister's husband		PB-CLDB	1778	Tiddim	317
313671	gang² pi¹	father's elder sister's husband		PB-CLDB	1778	Tiddim	318
313672	gaːi²	pregnant	vi	PB-CLDB	1778	Tiddim	319
313673	gaːi³ > gai?³	make somebody pregnant	v	PB-CLDB	1778	Tiddim	320
313674	gaːk¹	tighten	v	PB-CLDB	1778	Tiddim	321
313675	gaːl¹	beyond		PB-CLDB	1778	Tiddim	322
313677	gaːl²	go for condolence	v	PB-CLDB	1778	Tiddim	323
313678	gaːl² (te¹)	enemy		PB-CLDB	1778	Tiddim	324
313680	gaːm³ > gap³	exact a fine for something damaged	v	PB-CLDB	1778	Tiddim	325
313681	gaːn³ > gat³	weave	v	PB-CLDB	1778	Tiddim	326
313682	gaːu²	form fully like a banana or corn ready for harvest	v	PB-CLDB	1778	Tiddim	327
313683	gei²	near		PB-CLDB	1778	Tiddim	328
313684	gei³	long (time)		PB-CLDB	1778	Tiddim	329
313686	gel?³	write	v	PB-CLDB	1778	Tiddim	330
313687	gel¹	abscond	v	PB-CLDB	1778	Tiddim	331
313688	gel¹	watery		PB-CLDB	1778	Tiddim	332
313689	get³ > ge?³	castrate	v	PB-CLDB	1778	Tiddim	333
313690	geːk²	be the thin part of a wider body [e.g. waist of a	vi	PB-CLDB	1778	Tiddim	334
313691	geːl²	scheme; plan; discuss and come out with a result	v	PB-CLDB	1778	Tiddim	335
313692	geːl³	both		PB-CLDB	1778	Tiddim	336
313693	geːm³ > gep³	creep up on something; stalk	v	PB-CLDB	1778	Tiddim	337
313694	geːn¹	say	v	PB-CLDB	1778	Tiddim	338
313695	geːp³ > gep³	very dirty	vi	PB-CLDB	1778	Tiddim	339
313696	gi¹ lou¹	cruel		PB-CLDB	1778	Tiddim	340
313697	giak¹ > gia?³	stay overnight in somebody's house	v	PB-CLDB	1778	Tiddim	341
313698	gial²	hail		PB-CLDB	1778	Tiddim	342
313700	gial²	spotted; have many colours	vi	PB-CLDB	1778	Tiddim	343
313701	gial² beːm¹	leopard		PB-CLDB	1778	Tiddim	344
