NUMBER	GLOSS				SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	DEFINITION
99	to hunt	畋	*lˤiŋ	WT lings	action	1230	1435	Warfare and hunting	狩猎	To chase down prey and (usually) kill it.
100	the husband				kinship	247	1200	Kinship	丈夫	The male partner in a marriage.
101	I [first person singular]	吾	*ŋˤa		pronoun	928	1209	Kinship	我	The speaker or writer referring to himself or herself alone.
102	the ice	凌冰冫	*p.rəŋ 		nature	17	617	The physical world	冰	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.
103	inside	內	*nˤ[u]p-s		location	715	1606	Spatial relations	里面	Within the confines of a building.
104	to kill	殺	*s<r>at		action	1602	1417	The body	杀	To put to death; to end a life.
105	to knead				action	1594	274	Food and drink	捏	To press a dough many times with one's hands.
106	the knee	膝	*s-tsik		body	101	1371	The body	膝盖	In man, the joint in the middle part of the leg.
107	knife	刀	*C.tˤaw		object, tool	549	1352	Food and drink	刀子	A utensil consisting of a sharpened piece of hard material such as steel or other metal, ceramic, glass or stone, usually attached to a handle, that is formed in a manner that allows for cutting softer materials, especially meat or other food.
108	to know (something)	知	*tre 		action	1398	1410	Cognition	知道	To be certain or sure about something.
109	the lake	湖	*[g]ˤa		nature	31	624	The physical world	湖	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.
110	late	晚	*m[o][r]ʔ		time	1019	477	Time	晚	Towards the end of a time period. 
111	to laugh	辴	*tʰrər, *tʰrərʔ		action	1735	1355	Emotions and values	笑	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.
111	to laugh	笑	*[s-l]aw-s		action	1735	1355	Emotions and values	笑	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.
112	the leaf	枼	*lap		body, animal	376	628	Agriculture and vegetation	叶子	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.
113	to learn	學	*m-kˤruk		action	1742	504	Cognition	學習	To acquire, or attempt to acquire knowledge or an ability to do something.
114	left	左	*tsˤa[j]ʔ		characterization, location	710	244	Spatial relations	左	Something that is on the left side relative to another object.
115	to lick	舐	*Cə.leʔ 		action	1674	319	The body	添	To stroke with the tongue.
116	to lie down	臥	*[ŋ]ˤ[o]j-s		action	1661	215	Spatial relations	躺	(For a human or animal) to assume a horizontally extended position on a surface.
117	light (of weight)	輕	*[kʰ]eŋ 		characterisation, quantity	1052	1052	The physical world	轻	To start a fire or light a flame.
118	the lip (the lips)	脣 	*sə.dur		body part	85	478	The body	唇	Either of the two fleshy protrusions around the opening of the mouth.
119	the liver	肝	*s.kˤa[r]		body	145	1224	The body	肝	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.
120	long	長	*Cə-[N]-traŋ		characterization, quantity	972	1203	Spatial relations	长	Having much distance from one terminating point on an object or an area to another terminating point.
121	the louse	蝨	*srik		animal	356	1392	Animals	虱子	A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.
122	the lung	肺	*pʰo[t]-s		body part	143	688	The body	肺	A biological organ that extracts oxygen from the air.
123	the man (male human)	男	*nˤ[ə]m		human being	173	2106	Kinship	男人	A human belonging to the male sex.
124	many	多	*[t.l]ˤaj		characterization, quantity	987	1198	Quantity	多	An indefinite large number of.
125	to marry (a man marries a woman)				action	1578	2164	Kinship	娶	To enter marriage from the perspective of a man.
126	the meat	肉	*k-nuk-s		body, animal	443	634	Food and drink	肉	The edible flesh of animals, especially that of mammals.
127	middle	中  	*truŋ		location	708	1093	Spatial relations	当中	Being in the midway between the ends.
128	the moon	月 	*[ŋ]ʷat		nature, object	4	1313	The physical world	月亮	A natural satellite of a planet.
129	morning	朝	*t<r>aw		time	749	1339	Time	早上	The period of time from the start of the day (midnight) until midday (12:00).
130	the mosquito	蚉	*C.mə[r] 		animal	360	1509	Animals	蚊子	A small flying insect (of the family Culicidae) known for biting and sucking blood.
131	the mother	母 	*məʔ		kinship	219	1216	Kinship	妈妈	A woman who has at least one child.
132	the mountain	山	*s-ŋrar 		nature, geography	23	639	The physical world	山	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.
133	the mouse or rat	鼠	*[l̥]aʔ		animal	320	2139	Animals	老鼠	A large superfamily of rodents, including hamsters, gerbils, true mice and rats, and many other relatives.
134	the mouth	口	*kʰˤ(r)oʔ		body	84	674	The body	嘴巴	Opening in the lower half of a human face which is used for food ingestion and articulation.
135	the mud	泥 	*C.nˤ[əj]		nature	46	640	The physical world	泥巴	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)
136	the nail (fingernail or claw)	㕚	*[ts]ˤ<r>uʔ		body	113	2128	The body	指甲	The hard, keratin part growing at the feet of animals or the hands and legs of humans.
137	the name	名	*C.meŋ		human being	687	1405	Speech and language	名子	Any word or phrase which designates a particular person, place, class or thing.
138	narrow	狹	*N-kˤ<r>ep		characterization, quantity	977	1267	Spatial relations	寨	Having a small width.
139	near	近	*N-kərʔ		characterization, quantity	975	1942	Spatial relations	近	Not far distant in time or space or degree or circumstances.
139	near	尼	*nr[əj]		characterization, quantity	975	1942	Spatial relations	近	Not far distant in time or space or degree or circumstances.
140	the neck	脰	*kə.dˤok-s		body	89	1333	The body	脖子	The part of the body (found in some animals, including humans) that connects the head and the trunk.
140	the neck	領	*[r]eŋʔ		body	89	1333	The body	脖子	The part of the body (found in some animals, including humans) that connects the head and the trunk.
140	the neck	頸	 *[k]eŋʔ		body	89	1333	The body	脖子	The part of the body (found in some animals, including humans) that connects the head and the trunk.
141	the needle (for sewing)	箴	*t.[k]əm		object, tool	578	1382	Clothing and grooming	针	A thin, sharp implement used in sewing, knitting and acupuncture.
142	new	新	 *s.tsʰi[n]		characterization, state	1050	1231	Time	新	Recently made, created or begun.
143	nine	九	*[k]uʔ		number	805	1483	Quantity	九	The ninth natural number (9).
144	the nit				animal	357	267	Animals	虱卵	An egg of a louse that is sometimes found in people's hair.
145	noon	晝  	*truk-s		time	750	12	Time	中午	Time of day when the sun is in its zenith.
146	the nose	鼻	 *m-bi[t]-s		body	80	1221	The body	鼻子	The organ of the face used to breath and smell.
147	old (of person)	耆	*[g]rij		characterization, state	1058	2112	Time	老	To be old (of persons).
147	old (of person)	老	*C.rˤuʔ		characterization, state	1058	2112	Time	老	To be old (of persons).
148	one	一	*ʔi[t]		number	797	1493	Quantity	一	The cardinal number that directly follows zero and precedes two, represented in Roman numerals as I, and in Arabic numerals as 1.
149	the otter	獺	*r̥ˤat, *[m-r̥]ˤat		animal	317	15	Animals	水獭	Any of several aquatic, furbearing, weasellike mammals of the genus Lutra , having webbed feet and a long, slightly flattened tail.
150	outside	外	*[ŋ]ʷˤa[t]-s	WT ŋos 'surface'	location	714	762	Spatial relations	外面	In the open, not within a building.
151	the pig	豕	*l̥ajʔ		animal	284	1337	Animals	猪	A common, four-legged animal (Sus scrofa) that has cloven hooves, bristles and a nose adapted for digging and is farmed by humans for its meat.
152	to plant (vegetals, rice)	種	*(mə-)toŋʔ-s 	to plant seeds	action	1774	1486	Agriculture and vegetation	栽种	To put a plant in the ground so that it strikes root and grows.
152	to plant (vegetals, rice)	栽 	*[ts]ˤə	to plant seedlings ?	action	1774	1486	Agriculture and vegetation	栽种	To put a plant in the ground so that it strikes root and grows.
152	to plant (vegetals, rice)	埶	*ŋet-s	to plant (how ?)	action	1774	1486	Agriculture and vegetation	栽种	To put a plant in the ground so that it strikes root and grows.
153	to play	戲	*ŋ̊(r)ar-s		action	1703	1413	Emotions and values	玩耍	To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.
154	to pull			many verbs	action	1568	1455	Basic actions and technology	拉	To apply a force to (an object), in order that it moves towards the origin of the force that was applied.
155	to push	排	*[b]ˤrəj		action	1689	1452	Motion	推	To apply a force to (an object), in order that it moves away from the origin of the force that was applied.
155	to push	推 	*tʰˤuj		action	1689	1452	Motion	推	To apply a force to (an object), in order that it moves away from the origin of the force that was applied.
156	the rain	雨	*C.ɢʷ(r)aʔ		nature, phenomenon	10	658	The physical world	雨	Precipitation in the form of liquid water drops with diameters greater than 0.5 millimetres.
157	the rainbow	虹	*m-kˤoŋ, *kˤroŋ-s		nature	11	1733	The physical world	彩虹	A multicoloured arc in the sky caused by the refraction of light within droplets of rain in the air.
158	red	䞓	*t-kʰreŋ		characterization, color	1007	156	Sense perception	红	Having red as its colour.
158	red	赤	*[t-qʰ](r)Ak 		characterization, color	1007	156	Sense perception	红	Having red as its colour.
158	red	朱	*to		characterization, color	1007	156	Sense perception	红	Having red as its colour.
158	red	彤	*N-rˤu[m]		characterization, color	1007	156	Sense perception	红	Having red as its colour.
158	red	奭	*[qʰ](r)ək		characterization, color	1007	156	Sense perception	红	Having red as its colour.
159	to reside (live)	宅	*m-tˤ<r>ak	WT ɦjag-pa	action	1452	1099	The house	住	To have permanent residence.
160	the rice plant	稻 	*[l]ˤuʔ		object, food	439	2026	Agriculture and vegetation	稻米	An erect grass, Oryza sativa, that grows in East Asia on wet ground and has drooping flower spikes and yellow oblong edible grains that become white when polished.
161	right	右	*[ɢ]ʷəʔ		characterization, location	711	1019	Spatial relations	右	Something that is on the right side relative to another object.
162	the river	水	*s.turʔ		nature, geography	30	666	The physical world	江,河	A stream of water which flows in a channel from high ground to low ground and ultimately to a lake or the sea, except in a desert area where it may dwindle away to nothing.
163	the road	路	*Cə.rˤak-s		object, geography	38	667	Motion	路	A long piece of hard ground that people can drive along from one place to another.
164	the root	本	*C.pˤə[n]ʔ		body, animal	375	670	Agriculture and vegetation	根	The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.
165	the rope				object, tool	619	1218	Basic actions and technology	绳	Thick, strong string made of several strands that have been twisted together.
166	round	摶團	*[d]ˤon,*C.[d]ˤon		characterization, form	990	1395	Spatial relations	圆	Circular or having a circular cross-section in at least one direction.
166	round	圓圜	 *ɢʷ<r>en		characterization, form	990	1395	Spatial relations	圆	Circular or having a circular cross-section in at least one direction.
167	to run	走	 *[ts]ˤoʔ 		action	1544	1519	Motion	跑	To move quickly by alternately making a short jump off of either foot.
168	the salt	鹺	*N-[ts]ˤaj 		object, food	61	1274	Food and drink	盐	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).
168	the salt	鹽  	*[ɢr][o]m		object, food	61	1274	Food and drink	盐	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).
169	salty	鹹 	*Cə.[g]ˤr[o]m		characterisation, taste	1076	1091	Sense perception	咸	Containing salt.
170	the sand	沙	*sˤraj		nature, substance	44	671	The physical world	沙子	A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.
171	to scratch	搔	*s-[ts]ˤu		action	1530	1436	The body	抓	To rub or scrape (a part of the body) with a sharp object (e.g. to relieve an itching).
172	the sea	海 	*m̥ˤəʔ		nature, geography	32	1474	The physical world	海	A body of salt water that is smaller than an ocean and generally in proximity to a continent.
