rn	reflex	gloss	gfn	srcabbr	lgid	language	srcid
544256	pəŋ-mo	send	v.	SK-TBLUP	2110	Darma	620
544255	pəm-mo	spin	v.	SK-TBLUP	2110	Darma	619
544254	pəlti-bu	bedbug		SK-TBLUP	2110	Darma	618
544253	pyu	mouse		SK-TBLUP	2110	Darma	617
544252	pyaju	onion		SK-TBLUP	2110	Darma	616
544251	pya-gue-mo	break	v.	SK-TBLUP	2110	Darma	615
544250	pya	bird		SK-TBLUP	2110	Darma	614
544249	puəl-mo	knead	v.	SK-TBLUP	2110	Darma	613
544248	punɯ,mɯn-ci	elder brother's wife		SK-TBLUP	2110	Darma	612
544247	punu, ɕən	big, large		SK-TBLUP	2110	Darma	611
544246	puni, cini	father's elder sister; father's younger sister		SK-TBLUP	2110	Darma	610
544245	puni	wife's mother; husband's mother		SK-TBLUP	2110	Darma	609
544244	puna-ta	elder sister		SK-TBLUP	2110	Darma	608
544243	pun-puni	mother's elder brother's wife		SK-TBLUP	2110	Darma	607
544242	pun-pua	mother's elder brother		SK-TBLUP	2110	Darma	606
544241	pun-ba	father's elder brother; mother's elder sister's husband		SK-TBLUP	2110	Darma	605
544240	pum-nya, pum-mi-na	father's elder brother's wife		SK-TBLUP	2110	Darma	604
544239	pum-nya	mother's elder sister		SK-TBLUP	2110	Darma	603
544238	puk-to-ro	patella		SK-TBLUP	2110	Darma	602
544237	puk-to	knee		SK-TBLUP	2110	Darma	601
544236	pu, nunu	husband's younger sister's husband		SK-TBLUP	2110	Darma	600
544235	pu	husk		SK-TBLUP	2110	Darma	599
544234	pu	elder brother; husband's elder sister's husband		SK-TBLUP	2110	Darma	598
544233	ponə-be	rock		SK-TBLUP	2110	Darma	597
544232	poŋ-mo	fill (grains)	v.	SK-TBLUP	2110	Darma	596
544231	pomi-la	finger (ring)		SK-TBLUP	2110	Darma	595
544230	pɔla-guna	cobbler		SK-TBLUP	2110	Darma	594
544229	pɔla	shoe		SK-TBLUP	2110	Darma	593
544228	pɔk-ɕinu	rotten		SK-TBLUP	2110	Darma	592
544227	pok-sa-pe-mo	sweep	v.	SK-TBLUP	2110	Darma	591
544226	po-mo	take out	v.	SK-TBLUP	2110	Darma	590
544225	po-mo	increase	v.	SK-TBLUP	2110	Darma	589
544224	po-lini	spring		SK-TBLUP	2110	Darma	588
544223	piɕa	skull		SK-TBLUP	2110	Darma	587
544222	piɕa	head		SK-TBLUP	2110	Darma	586
544221	pijɛ	seed		SK-TBLUP	2110	Darma	585
544220	pichaŋ	behind, below		SK-TBLUP	2110	Darma	584
544219	pi-tɯm	egg		SK-TBLUP	2110	Darma	583
544218	pi-tsu, mya	daughter's husband		SK-TBLUP	2110	Darma	582
544217	pi-mɛ̃, nəm-ɕya	son's wife		SK-TBLUP	2110	Darma	581
544216	pɛnu-mi, lama	priest		SK-TBLUP	2110	Darma	580
544215	pɛləp	frog		SK-TBLUP	2110	Darma	579
544214	pɛl-muŋ	midnight		SK-TBLUP	2110	Darma	578
544213	pɛ-nu	short		SK-TBLUP	2110	Darma	577
544212	pe-mo	tear	v.	SK-TBLUP	2110	Darma	576
544211	pe-mo	slip	v.	SK-TBLUP	2110	Darma	575
544210	pɛ-mo	know	v.	SK-TBLUP	2110	Darma	574
544209	pe-ma, powa	wife's father; husband's father		SK-TBLUP	2110	Darma	573
544208	pe-mã	father's elder sister's husband; father's younger sister's husband		SK-TBLUP	2110	Darma	572
544207	pat	leaf		SK-TBLUP	2110	Darma	571
544206	papəl	calves		SK-TBLUP	2110	Darma	570
544205	pan	betel leaf		SK-TBLUP	2110	Darma	569
544204	paləŋ	spinach		SK-TBLUP	2110	Darma	568
544203	pala	mortar		SK-TBLUP	2110	Darma	567
544202	pagər-ɕino	closed		SK-TBLUP	2110	Darma	566
544201	pagaro	ankle		SK-TBLUP	2110	Darma	565
544200	pa-mo	measure (grains)	v.	SK-TBLUP	2110	Darma	564
544199	pa-mo	fill (liquid)	v.	SK-TBLUP	2110	Darma	563
544198	pãdro	monkey		SK-TBLUP	2110	Darma	562
544197	or-ɕi-mo	bathe	vt.	SK-TBLUP	2110	Darma	561
544196	omphɚ	hips		SK-TBLUP	2110	Darma	560
544195	o-ɕi-mo	nod	v.	SK-TBLUP	2110	Darma	559
544194	o, uo, wo	he, she		SK-TBLUP	2110	Darma	558
544193	õ	yes		SK-TBLUP	2110	Darma	557
544192	ŋa-ci-mo	pray	v.	SK-TBLUP	2110	Darma	556
544191	hnyuŋ-nu	flexible		SK-TBLUP	2110	Darma	555
544190	hnya-mo	catch fish	v.	SK-TBLUP	2110	Darma	554
544189	hnɛp-ti	snot		SK-TBLUP	2110	Darma	553
544188	hne	medicine		SK-TBLUP	2110	Darma	552
544187	nəŋ-mo	measure	v.	SK-TBLUP	2110	Darma	551
544186	nəmbu-jəŋ	cloth (woolen)		SK-TBLUP	2110	Darma	550
544185	nəm-ɕya	younger brother's wife		SK-TBLUP	2110	Darma	549
544184	nəll	iron-shaft		SK-TBLUP	2110	Darma	548
544183	nədɯm-ga	like this		SK-TBLUP	2110	Darma	547
544182	nədu, nədo	this		SK-TBLUP	2110	Darma	546
544181	nədo-bɛr, neŋ-birna	these		SK-TBLUP	2110	Darma	545
544180	nədo, dɔkhuŋ	here		SK-TBLUP	2110	Darma	544
544179	nyəm-no	pungent		SK-TBLUP	2110	Darma	543
544178	nyaŋ-thəpa	evening		SK-TBLUP	2110	Darma	542
544177	nyã	fish		SK-TBLUP	2110	Darma	541
544176	nunu	younger brother		SK-TBLUP	2110	Darma	540
544175	nuk-chou	day		SK-TBLUP	2110	Darma	539
544174	nu-nu	new		SK-TBLUP	2110	Darma	538
544173	no-mo	increase (by stretching)	v.	SK-TBLUP	2110	Darma	537
544172	nɔ-mo	drag	v.	SK-TBLUP	2110	Darma	536
544171	no-kənti,nyo-kənti,no-kəndi	after, again, behind, last		SK-TBLUP	2110	Darma	535
544170	nõni	butter		SK-TBLUP	2110	Darma	534
544169	niŋ-nimi	we (pl.)		SK-TBLUP	2110	Darma	533
544167	niŋ-go	our		SK-TBLUP	2110	Darma	531
544168	niŋ-jya	a day after tomorrow		SK-TBLUP	2110	Darma	532
544166	niŋ-birmi	we (pl. incl.)		SK-TBLUP	2110	Darma	530
544165	niməŋ	yesterday		SK-TBLUP	2110	Darma	529
544164	nim-toto	nostrils		SK-TBLUP	2110	Darma	528
544163	nim-ɕi-mo	blow (nose)	v.	SK-TBLUP	2110	Darma	527
544162	nim-mo	smell	v.	SK-TBLUP	2110	Darma	526
544161	nim	nose		SK-TBLUP	2110	Darma	525
544160	nil	gums		SK-TBLUP	2110	Darma	524
544159	ni	sun		SK-TBLUP	2110	Darma	523
544158	ni	light (of sun)		SK-TBLUP	2110	Darma	522
544157	nep-tsɯ-mo	fold (hands)	v.	SK-TBLUP	2110	Darma	521
544156	nɛŋ-nu	light (in weight)		SK-TBLUP	2110	Darma	520
544155	ne-ɕi-mo	relax	v.	SK-TBLUP	2110	Darma	519
544154	ne-nəm	near		SK-TBLUP	2110	Darma	518
544153	ne-mo	rub	v.	SK-TBLUP	2110	Darma	517
544152	ne-mo	oil	v.	SK-TBLUP	2110	Darma	516
