# Wordlist

# DATA
ID	IPA	SOURCE	TOWEROFBABEL	SUBGROUP	WOLD	CONCEPT	ENTRY_IN_SOURCE	CHINESE	SWADESH_1952	POS	NOTE	SCAID	SWADESH_1955	HANZI	DOCULECT	BORROWING	ALIGNMENT	IELEX	ABVD	OMEGAWIKI	GLOSS_IN_SOURCE	COGID	TOKENS
75	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Achang_Luxi		-	all (2)	all (191)	1173416	-	0	-
76	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Atsi		-	all (2)	all (191)	1173416	-	0	-
77	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Bola		-	all (2)	all (191)	1173416	-	0	-
78	a²lum²	-	all(84)	Burmish	13.14	all	a²lum²	全部	all (of a number)(1)	Function word	-	0	all(1)	凡	Burmese		-	all (2)	all (191)	1173416	all	9	a ² l u m ²
79	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Hpun		-	all (2)	all (191)	1173416	-	0	-
80	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Lashi		-	all (2)	all (191)	1173416	-	0	-
81	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Maru		-	all (2)	all (191)	1173416	-	0	-
82	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Old_Burmese		-	all (2)	all (191)	1173416	-	0	-
83	-	-	all(84)	Burmish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Xiandau		-	all (2)	all (191)	1173416	-	0	-
84	-	-	all(84)	Kiranti	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Dumi		-	all (2)	all (191)	1173416	-	0	-
85	kʰøle	-	all(84)	Kiranti	13.14	all	kʰøle	全部	all (of a number)(1)	Function word	-	0	all(1)	凡	Khaling		-	all (2)	all (191)	1173416	all	12	kʰ ø l e
86	kak	-	all(84)	Kiranti	13.14	all	kak	全部	all (of a number)(1)	Function word	-	0	all(1)	凡	Limbu		-	all (2)	all (191)	1173416	all	11	k a k
87	-	-	all(84)	Kiranti	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Wambule		-	all (2)	all (191)	1173416	-	0	-
88	-	-	all(84)	Kiranti	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Yakkha		-	all (2)	all (191)	1173416	-	0	-
89	-	-	all(84)	Kiranti	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Yamphu		-	all (2)	all (191)	1173416	-	0	-
90	-	-	all(84)	Nungish	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Dulong		-	all (2)	all (191)	1173416	-	0	-
91	-	-	all(84)	SAL	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Jingpo		-	all (2)	all (191)	1173416	-	0	-
92	-	-	all(84)	Sinitic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Beijing		-	all (2)	all (191)	1173416	-	0	-
93	-	-	all(84)	Sinitic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Caijia		-	all (2)	all (191)	1173416	-	0	-
94	-	-	all(84)	Sinitic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Changsha		-	all (2)	all (191)	1173416	-	0	-
95	-	-	all(84)	Sinitic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Ganzhou		-	all (2)	all (191)	1173416	-	0	-
96	-	-	all(84)	Sinitic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Guangzhou		-	all (2)	all (191)	1173416	-	0	-
97	-	-	all(84)	Sinitic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Meixian		-	all (2)	all (191)	1173416	-	0	-
98	*[g]ˤr[ə]m	-	all(84)	Sinitic	13.14	all	*[g]ˤr[ə]m	全部	all (of a number)(1)	Function word	-	0	all(1)	咸	Old_Chinese		-	all (2)	all (191)	1173416	all	8	gˤ r ə m
99	-	-	all(84)	Sinitic	13.14	all	-	全部	all (of a number)(1)	Function word	-	0	all(1)	-	Xiamen		-	all (2)	all (191)	1173416	-	0	-
