# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	CONCEPTID	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	ID_IN_SOURCE	IELEX	IPA	LGID	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	RGEN	SCAID	SOURCE	SRCABBR	SRCID	SUBGROUP	SWADESH_1952	SWADESH_1955	TAXON_NAME_IN_SOURCE	TOKENS	TOWEROFBABEL	WOLD
18154						0	above	2	Tibetan_Lhasa		jɛ̃¹³tɕhɛ⁵²	over / above		21349		jɛ̃¹³tɕhɛ⁵²	1815								prep	382648	0	STEDT/TBL	TBL	0731.02	Tibetan			Tibetan (Lhasa)	j ɛ̃ ∼ ¹³ ◦ tɕh ɛ ⁵²		
18155						0	above	2	Tibetan_Lhasa		khoŋ¹³la	over / above		21350		khoŋ¹³la	1815								prep	382697	0	STEDT/TBL	TBL	0731.02	Tibetan			Tibetan (Lhasa)	kh o ŋ ¹³ ◦ l a		
18666						0	above	2	Yi_Nanhua		tɕɑ̱³³ɑ²¹ʂɿ²¹	over / above		54892		tɕɑ̱³³ɑ²¹ʂɿ²¹	1834		!						prep	382683	0	STEDT/TBL	TBL	0731.37	Northern Loloish			Yi (Nanhua)	tɕ ɑ̱ ³³ ◦ ɑ ²¹ ◦ ʂ ɿ ²¹		
18727						0	above	2	Naxi		gə²¹to⁵⁵	over / above		71379		gə²¹to⁵⁵	1843								prep	382691	0	STEDT/TBL	TBL	0731.45	Naxi			Naxi	g ə ²¹ ◦ t o ⁵⁵		
19078						0	above	2	Hani_Lüchun		la³¹ȵi⁵⁵	over / above		64091		la³¹ȵi⁵⁵	1839								prep	382687	0	STEDT/TBL	TBL	0731.41	Southern Loloish			Hani (Lüchun)	l a ³¹ ◦ ȵ i ⁵⁵		
19109						0	above	2	Daofu		rə nkhvɛ	over / above		6385		rə nkhvɛ	1807								prep	382658	0	STEDT/TBL	TBL	0731.12	rGyalrongic			Daofu	r ə _ n kh v ɛ		
19426						0	above	2	Pumi_Lanping		to⁵⁵ni¹³	over / above		88768		to⁵⁵ni¹³	1853								prep	382655	0	STEDT/TBL	TBL	0731.09	Qiangic			Pumi (Lanping)	t o ⁵⁵ ◦ n i ¹³		
19539						0	above	2	Dulong		lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	over / above		23374		lɯ³¹kɑ⁵⁵pɑŋ⁵⁵	1816								prep	382666	0	STEDT/TBL	TBL	0731.20	Nungic			Dulong	l ɯ ³¹ ◦ k ɑ ⁵⁵ ◦ p ɑ ŋ ⁵⁵		
19810						0	above	2	Tibetan_Batang		ja¹³tɕøʔ⁵³	over / above		40138		ja¹³tɕøʔ⁵³	1826								prep	382649	0	STEDT/TBL	TBL	0731.03	Tibetan			Tibetan (Batang)	j a ¹³ ◦ tɕ ø ʔ ⁵³		
19930						0	above	2	Yi_Wuding		thɑ̱⁵⁵dɑ̱²	over / above		56738		thɑ̱⁵⁵dɑ̱²	1835								prep	382684	0	STEDT/TBL	TBL	0731.38	Northern Loloish			Yi (Wuding)	th ɑ̱ ⁵⁵ ◦ d ɑ̱ ²		
20001						0	above	2	Namuyi		læ³³kæ³¹	over / above		73208		læ³³kæ³¹	1844								prep	382692	0	STEDT/TBL	TBL	0731.46	Qiangic			Namuyi	l æ ³³ ◦ k æ ³¹		
20363						0	above	2	Jingpho		n³¹tsa̱³³	over / above		19368		n³¹tsa̱³³	1814								prep	382665	0	STEDT/TBL	TBL	0731.19	Jingpho			Jingpho	n ³¹ ◦ ts a̱ ³³		
20420						0	above	2	Queyu_Xinlong		je¹³ntɕhə⁵⁵	over / above		8311		je¹³ntɕhə⁵⁵	1808		!						prep	382659	0	STEDT/TBL	TBL	0731.13	Qiangic			Queyu (Xinlong)	j e ¹³ ◦ n tɕ h ə ⁵⁵		
21215						0	above	2	Yi_Sani		æ⁵⁵qe⁵⁵	over / above		58667		æ⁵⁵qe⁵⁵	1836								prep	382685	0	STEDT/TBL	TBL	0731.39	Central Loloish			Yi (Sani)	æ ⁵⁵ ◦ q e ⁵⁵		
21603						0	above	2	Zhaba_Daofu_County		ʌ¹³tʂhɿ³³	over / above		10146		ʌ¹³tʂhɿ³³	1809								prep	382660	0	STEDT/TBL	TBL	0731.14	Qiangic			Zhaba (Daofu County)	ʌ ¹³ ◦ tʂh ɿ ³³		
21766						0	above	2	rGyalrong_Maerkang		wu prɐi	over / above		4467		wu prɐi	1806								prep	382657	0	STEDT/TBL	TBL	0731.11	rGyalrong			rGyalrong (Maerkang)	w u _ p r ɐ i		
22401						0	above	2	Tibetan_Xiahe		jan tɕhar	over / above		60494		jan tɕhar	1837								prep	382650	0	STEDT/TBL	TBL	0731.04	Tibetan			Tibetan (Xiahe)	j a n _ tɕh a r		
22825						0	above	2	Muya		jɐ̃³³tɕhø⁵³	over / above		12074		jɐ̃³³tɕhø⁵³	1810								prep	382661	0	STEDT/TBL	TBL	0731.15	Qiangic			Muya	j ɐ̃ ∼ ³³ ◦ tɕh ø ⁵³		
22826						0	above	2	Muya		tə³³to²⁴	over / above		12075		tə³³to²⁴	1810								prep	382698	0	STEDT/TBL	TBL	0731.15	Qiangic			Muya	t ə ³³ ◦ t o ²⁴		
23503						0	above	2	Lisu		gɑ̱³¹si̱³³	over / above		62259		gɑ̱³¹si̱³³	1838								prep	382686	0	STEDT/TBL	TBL	0731.40	Central Loloish			Lisu	g ɑ̱ ³¹ ◦ s i̱ ³³		
23962						0	above	2	Bokar		jan dap	over / above		29599		jan dap	1820								prep	382670	0	STEDT/TBL	TBL	0731.24	Western Tani			Bokar	j a n _ d a p		
25250						0	above	2	Xumi		dʑi³³lɛ³³tʂõ⁵⁵	over / above		15654		dʑi³³lɛ³³tʂõ⁵⁵	1812								prep	382663	0	STEDT/TBL	TBL	0731.17	Qiangic			Xumi	dʑ i ³³ ◦ l ɛ ³³ ◦ tʂ õ ∼ ⁵⁵		
#
